Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Calvin Harris,CHW,1,0.9115,0.2006,0.0186,0.0927,0.069,0.008,0.278799,0.325837
Jason Schiavone,HOU,1,0.8803,0.1602,0.0298,0.1008,0.0962,0.012,0.269559,0.324889
Paul McIntosh,PHI,1,0.8995,0.195,0.0272,0.1034,0.075,0.014,0.285226,0.354975
Patrick Clohisy,ATL,1,0.9141,0.2257,0.0171,0.1104,0.0654,0.009,0.301396,0.364512
Josh Kasevich,TOR,1,0.9125,0.2241,0.008,0.092,0.066,0.01,0.301396,0.32274
Emmanuel Rivera,,1,0.907,0.2204,0.0203,0.0988,0.071,0.011,0.303523,0.361632
Nick Raposo,SEA,1,0.9008,0.1816,0.0177,0.0912,0.0787,0.009,0.270463,0.308282
Ramón Rodríguez,MIL,1,0.909,0.2046,0.0201,0.0966,0.0665,0.013,0.285327,0.335534
Murf Gray,PIT,1,0.9053,0.2185,0.0297,0.1082,0.0692,0.014,0.303003,0.389263
Jesús Made,MIL,1,0.913,0.2169,0.0157,0.1016,0.0695,0.006,0.293663,0.353122
Anthony Rendon,LAA,1,0.8701,0.1968,0.0165,0.1033,0.1019,0.017,0.317127,0.33295
Jace Bohrofen,TOR,1,0.8975,0.1867,0.0344,0.1074,0.079,0.012,0.278899,0.376825
Grant McCray,SFG,6.08618,5.4522,1.1716,0.1394,0.6002,0.5185,0.0426,0.285995,0.351216
Dub Gleed,TOR,1,0.9115,0.2122,0.0243,0.1015,0.064,0.013,0.290449,0.365442
Wenceel Pérez,DET,1,0.902,0.2121,0.0302,0.1105,0.0804,0.007,0.300552,0.397118
Adrián Sugastey,SFG,1,0.93,0.2182,0.0182,0.0908,0.0495,0.009,0.277895,0.342688
George Valera,CLE,1,0.895,0.2096,0.0332,0.1107,0.0877,0.007,0.305216,0.398548
Charlie Pagliarini,SEA,1,0.8978,0.1834,0.0305,0.1021,0.0807,0.01,0.275284,0.356984
Luke Hill,CLE,1,0.8978,0.2036,0.0204,0.1015,0.0797,0.011,0.295571,0.35186
Luke Pelzer,KCR,1,0.9181,0.2509,0.0113,0.1068,0.0624,0.008,0.322688,0.385252
Cayden Wallace,WSN,1,0.925,0.2264,0.0297,0.1079,0.0545,0.009,0.291152,0.397838
Michael Turner,CHW,1,0.9025,0.197,0.0148,0.0909,0.079,0.007,0.284222,0.315125
Johan Rojas,PHI,1,0.9205,0.229,0.0168,0.1092,0.058,0.009,0.297517,0.363715
Ryan Cesarini,CLE,1,0.9109,0.2209,0.0322,0.1123,0.0676,0.01,0.299789,0.400812
Carson Roccaforte,KCR,1,0.9101,0.201,0.0325,0.11,0.0714,0.007,0.280607,0.38776
Coby Morales,NYY,1,0.9095,0.2097,0.025,0.1028,0.073,0.006,0.289947,0.362947
Nate Baez,BOS,1,0.9157,0.2016,0.0205,0.0954,0.0588,0.014,0.275585,0.338976
Masataka Yoshida,BOS,1,0.897,0.2478,0.0243,0.1156,0.0767,0.016,0.341525,0.419398
John Taylor,TEX,1,0.8829,0.1941,0.0182,0.1006,0.0916,0.014,0.300994,0.33356
Luke Adams,MIL,1,0.8457,0.1859,0.0374,0.1212,0.1068,0.036,0.330119,0.403571
Jacob Cozart,LAA,1,0.9062,0.1867,0.0254,0.0913,0.0713,0.011,0.270162,0.328515
Jacob Melton,TBR,1,0.9053,0.1956,0.0303,0.1116,0.0747,0.008,0.279586,0.371148
Josiah Ragsdale,STL,1,0.8919,0.2012,0.0254,0.1045,0.0876,0.009,0.299086,0.359794
Andrick Nava,MIL,1,0.907,0.1981,0.0212,0.0972,0.0725,0.009,0.280807,0.335722
Brian Navarreto,MIA,2.29503,2.1188,0.442,0.0498,0.2101,0.1223,0.0252,0.258168,0.326789
Edouard Julien,COL,1,0.8498,0.2023,0.0228,0.1162,0.1293,0.009,0.342277,0.372676
Phillip Glasser,WSN,1,0.8953,0.23,0.0102,0.0992,0.0832,0.01,0.324596,0.342008
Griffin Lockwood-Powell,LAD,1,0.8955,0.1888,0.0235,0.1009,0.084,0.009,0.283017,0.336572
Raudi Rodriguez,LAA,1,0.8973,0.1995,0.0237,0.0993,0.0822,0.009,0.291955,0.352168
Garret Forrester,MIA,1,0.8558,0.1696,0.0166,0.0962,0.1187,0.014,0.303605,0.303692
Kevin Parada,NYM,1,0.9079,0.1941,0.0232,0.098,0.0716,0.009,0.275886,0.338804
Arjun Nimmala,LAA,1,0.9082,0.1953,0.0248,0.0966,0.0703,0.01,0.27679,0.351685
Casey Schmitt,SFG,1,0.9247,0.2324,0.0374,0.1106,0.0525,0.013,0.298677,0.425003
Andrew Fischer,MIL,1,0.8808,0.1743,0.0451,0.1135,0.0977,0.01,0.283218,0.392938
Nick Dini,TBR,1,0.8836,0.1685,0.0264,0.0982,0.0919,0.013,0.274581,0.321073
Spencer Steer,CIN,1,0.8771,0.2076,0.0361,0.1147,0.1007,0.013,0.322008,0.413978
Jay Harry,TOR,1,0.9315,0.2163,0.0206,0.0969,0.044,0.013,0.27448,0.358776
Jared Young,NYM,1,0.8935,0.2213,0.0342,0.1153,0.0818,0.015,0.318865,0.423167
Andrew Cossetti,MIN,1,0.8739,0.1591,0.0255,0.0961,0.0986,0.016,0.274882,0.315597
Jancel Villarroel,SFG,1,0.92,0.2066,0.0174,0.0904,0.0535,0.015,0.276288,0.336957
Samuel Zavala,CHW,1,0.8695,0.1811,0.0248,0.1017,0.111,0.008,0.301396,0.335135
Nick Goodwin,TOR,1,0.9025,0.1942,0.0212,0.0974,0.072,0.014,0.28141,0.340277
Niko Kavadas,LAA,3.23467,2.7932,0.5592,0.133,0.3523,0.362,0.0421,0.299078,0.383503
Logan Porter,LAA,1,0.8801,0.1721,0.0206,0.0901,0.097,0.011,0.281394,0.305079
Ramón Laureano,SDP,1,0.8948,0.2075,0.036,0.1148,0.0784,0.016,0.303021,0.407801
Tony Santa Maria,TBR,1,0.9028,0.2047,0.0222,0.1035,0.0717,0.014,0.291654,0.349247
Logan O'Hoppe,TEX,0.887225,0.8044,0.1816,0.0302,0.0926,0.0618,0.0106,0.287525,0.380035
Brendan Rodgers,BOS,1,0.9055,0.2164,0.0223,0.1024,0.0737,0.01,0.301184,0.36709
Joey Loperfido,HOU,1.93273,1.7465,0.4102,0.0467,0.2003,0.1376,0.0271,0.298618,0.372631
Daz Cameron,TOR,1,0.9061,0.2149,0.0308,0.1105,0.073,0.01,0.299006,0.400177
Jacob Reimer,NYM,1,0.8927,0.2001,0.0254,0.1063,0.0818,0.014,0.297178,0.362496
Kevin Bazzell,WSN,1,0.9101,0.2077,0.0172,0.0952,0.0644,0.014,0.287336,0.333809
Jacob Berry,KCR,1,0.9051,0.2108,0.0198,0.104,0.0724,0.011,0.295471,0.35764
Ryan Sprock,TOR,1,0.8985,0.186,0.019,0.093,0.079,0.011,0.277192,0.309516
Jake Gelof,LAD,1,0.8985,0.189,0.0411,0.1145,0.084,0.006,0.280205,0.395103
Jaison Chourio,CLE,1,0.8847,0.2009,0.0139,0.0987,0.0978,0.006,0.306016,0.325082
Vinny Capra,BOS,1,0.8983,0.2091,0.0175,0.1004,0.0797,0.01,0.300241,0.344206
Leonel Valera,,1,0.9302,0.2206,0.0175,0.098,0.0483,0.01,0.280104,0.354225
Maverick Handley,ATL,1,0.8795,0.1737,0.0143,0.0963,0.0912,0.017,0.283345,0.291529
Kendall George,LAD,1,0.8965,0.2224,0.0101,0.1064,0.085,0.007,0.315758,0.331177
Miles Mastrobuoni,SEA,1,0.8924,0.2011,0.0127,0.095,0.0917,0.004,0.298142,0.318467
Noah Mendlinger,STL,1,0.8789,0.2154,0.0055,0.095,0.0876,0.022,0.326404,0.31767
Easton Carmichael,PIT,1,0.9354,0.2232,0.0199,0.0977,0.0431,0.01,0.277493,0.35728
Aaron Walton,CLE,1,0.9039,0.1989,0.0242,0.1018,0.0676,0.017,0.284724,0.35723
Nate Eaton,BOS,6.21756,5.6655,1.2924,0.1335,0.6535,0.4029,0.0746,0.286086,0.357356
Ramon Mendoza,STL,1,0.8977,0.2137,0.0171,0.0989,0.0788,0.012,0.305815,0.350563
Enrique Bradfield Jr.,BAL,1,0.8996,0.2054,0.0131,0.1003,0.0789,0.01,0.295571,0.323477
Woody Hadeen,DET,1,0.8992,0.2061,0.0092,0.0951,0.0733,0.016,0.296676,0.316726
Santiago Espinal,ARI,1,0.9136,0.2377,0.0118,0.1017,0.0669,0.008,0.313918,0.354203
Tyler Fitzgerald,LAD,1,0.9116,0.202,0.0346,0.1131,0.0643,0.012,0.27967,0.385695
Cal Stevenson,DET,1,0.8546,0.1854,0.018,0.1066,0.1275,0.006,0.320374,0.338755
Chadwick Tromp,LAD,1,0.913,0.185,0.0247,0.0988,0.0692,0.005,0.260607,0.327163
Brayden Taylor,MIA,1,0.8859,0.1902,0.0295,0.108,0.0956,0.007,0.294064,0.373406
Andrew Navigato,DET,1,0.9122,0.1971,0.0245,0.1003,0.0643,0.012,0.274581,0.350691
Gabriel Arias,CHC,1.94898,1.7879,0.3953,0.0572,0.1966,0.121,0.0195,0.275859,0.367414
Pascanel Ferreras,HOU,1,0.9184,0.2059,0.0174,0.097,0.0571,0.013,0.277192,0.341028
Manuel Palencia,NYY,1,0.9308,0.2145,0.015,0.0899,0.0507,0.007,0.273376,0.323485
Milan Tolentino,CLE,1,0.8988,0.1802,0.028,0.1015,0.0827,0.007,0.271066,0.346462
Gavin Sheets,SDP,8.66701,7.6677,1.7862,0.2895,0.955,0.8277,0.0867,0.312436,0.396194
Ryan Campos,STL,1,0.8918,0.1911,0.0138,0.0922,0.0857,0.011,0.289043,0.308477
Rodolfo Durán,SDP,1,0.9208,0.1931,0.0287,0.0986,0.0563,0.01,0.260808,0.350891
Leo Rivas,SEA,0.625794,0.5257,0.1066,0.0081,0.0631,0.0842,0.0081,0.319467,0.288187
Matt Scheffler,,1,0.8858,0.1711,0.0131,0.0884,0.0887,0.014,0.274982,0.27907
Nick Yorke,PIT,0.967444,0.8816,0.2247,0.0191,0.1004,0.066,0.0087,0.310807,0.376021
Ricardo Genovés,,1,0.9058,0.1804,0.026,0.0958,0.0707,0.012,0.264236,0.33142
Onil Perez,SFG,1,0.9042,0.2014,0.0108,0.0878,0.0733,0.011,0.286934,0.309777
Adrian Del Castillo,ARI,0.607358,0.5483,0.1232,0.0189,0.0641,0.0485,0.0043,0.290669,0.382272
Core Jackson,NYY,1,0.9137,0.2003,0.0185,0.0988,0.0628,0.012,0.276288,0.339827
Roc Riggio,COL,1,0.8946,0.2101,0.0332,0.1158,0.0849,0.009,0.305313,0.406998
Hendry Mendez,MIN,1,0.8881,0.2196,0.0194,0.1039,0.0914,0.009,0.321382,0.364148
Poncho Ruiz,MIN,1,0.9013,0.1897,0.0126,0.0898,0.0782,0.009,0.278096,0.308665
Andres Sosa,,1,0.8845,0.1713,0.0172,0.0922,0.086,0.018,0.276489,0.301978
Tucupita Marcano,SDP,1,0.9092,0.2116,0.017,0.0984,0.0683,0.011,0.292156,0.344149
James Outman,DET,1,0.8848,0.177,0.0331,0.1094,0.0874,0.016,0.281668,0.364828
Seby Zavala,DET,1,0.8959,0.1633,0.0241,0.0923,0.0804,0.012,0.25683,0.307289
Luis Matos,MIL,1,0.9185,0.2229,0.0341,0.1121,0.0604,0.01,0.294478,0.408928
Blake Dunn,CIN,1,0.8889,0.2141,0.0198,0.1106,0.0783,0.021,0.315038,0.356283
Cristofer Torin,ARI,1,0.9146,0.2239,0.0116,0.0982,0.0649,0.009,0.299086,0.339711
Joshua Báez,STL,1,0.9168,0.2106,0.0442,0.1169,0.0591,0.014,0.284525,0.42801
Jhonkensy Noel,BAL,1,0.918,0.2029,0.0472,0.1118,0.0572,0.014,0.27509,0.420153
Brett Wisely,ATL,1,0.8895,0.2082,0.0193,0.1081,0.0882,0.01,0.30794,0.354806
Sterlin Thompson,COL,1.91481,1.6835,0.4235,0.0547,0.222,0.172,0.0364,0.331549,0.408197
Bryant Betancourt,COL,1,0.9183,0.217,0.0268,0.1042,0.0632,0.007,0.28844,0.37417
Gavin Kilen,SFG,1,0.928,0.2232,0.0118,0.0905,0.0525,0.008,0.284925,0.34903
Tanner Murray,CHW,0.963737,0.8934,0.2104,0.0223,0.0916,0.0501,0.0096,0.281383,0.365122
Adam Zebrowski,ATL,1,0.921,0.1921,0.0329,0.1011,0.0585,0.009,0.260721,0.359609
Davis Diaz,ATH,1,0.9029,0.2011,0.0149,0.0928,0.0736,0.012,0.287938,0.321852
Jacob Humphrey,COL,1,0.9162,0.2417,0.0203,0.1109,0.0593,0.013,0.315356,0.393364
Giancarlo Stanton,NYY,1,0.8929,0.2045,0.0564,0.1245,0.0921,0.006,0.303146,0.457946
Parks Harber,SFG,0.648711,0.5879,0.1402,0.0155,0.0649,0.0476,0.0058,0.29969,0.376595
Lenyn Sosa,,1,0.9448,0.23,0.0295,0.1002,0.037,0.008,0.275827,0.386113
Miguel Palma,NYY,1,0.9076,0.1844,0.0234,0.0937,0.0699,0.011,0.266446,0.322499
Caleb Lomavita,WSN,1,0.926,0.2086,0.0226,0.0956,0.0495,0.013,0.272271,0.35054
Christian Cerda,ARI,1,0.8887,0.1814,0.0225,0.0982,0.0918,0.008,0.282414,0.324294
Jihwan Bae,MIL,1,0.8919,0.2085,0.0118,0.1024,0.0866,0.01,0.306356,0.334903
Spencer Packard,SEA,1,0.8808,0.2017,0.0201,0.1016,0.0937,0.014,0.310736,0.34287
Blake Rambusch,SEA,1,0.8968,0.2048,0.005,0.0937,0.0807,0.011,0.29778,0.291815
Braiden Ward,BOS,0.648711,0.5797,0.135,0.0067,0.0694,0.0388,0.0227,0.304227,0.333621
Michael De La Cruz,,1,0.9011,0.1904,0.0166,0.0924,0.0804,0.007,0.279,0.310842
Tomás Nido,BOS,1,0.9306,0.2087,0.0192,0.0923,0.0478,0.009,0.266888,0.330539
Orlando Martinez,TEX,1,0.9158,0.2121,0.0158,0.0977,0.0667,0.006,0.28603,0.343306
Eduardo Quintero,LAD,1,0.8915,0.1965,0.026,0.1089,0.085,0.012,0.294767,0.355917
Jarred Kelenic,NYY,1,0.8996,0.1999,0.0329,0.1097,0.084,0.005,0.290148,0.388284
James Tibbs III,LAD,1,0.8767,0.1945,0.0386,0.1181,0.1038,0.008,0.307623,0.399224
Demetrio Crisantes,ARI,1,0.9116,0.2218,0.016,0.1022,0.0669,0.01,0.29999,0.360246
Tyler Hardman,NYY,1,0.9177,0.192,0.0394,0.1064,0.0628,0.008,0.263935,0.382151
Shane McGuire,ATH,1,0.8817,0.1829,0.0175,0.0935,0.0968,0.01,0.290951,0.309743
Colin Tuft,BAL,1,0.8966,0.1701,0.0198,0.0932,0.0779,0.014,0.263131,0.308053
Patrick Wisdom,SEA,1.31557,1.184,0.236,0.0726,0.1557,0.105,0.0118,0.269231,0.423649
Omar Martinez,LAA,1,0.8993,0.1705,0.0313,0.0921,0.0782,0.01,0.26,0.328033
Luis Peña,MIL,1,0.9281,0.2179,0.0153,0.0996,0.0504,0.01,0.279502,0.344898
Caden Kendle,MIN,1,0.9166,0.2237,0.026,0.1066,0.0579,0.014,0.296877,0.388392
Luis Durango,NYY,1,0.9248,0.2252,0.0118,0.0994,0.0507,0.013,0.290148,0.33391
James Triantos,CHC,1,0.9294,0.2324,0.0144,0.104,0.05,0.01,0.293427,0.352485
Mac Horvath,TBR,1,0.9189,0.2047,0.0257,0.1038,0.0626,0.007,0.275485,0.358472
Izaac Pacheco,DET,1,0.8992,0.1835,0.0354,0.1054,0.0833,0.006,0.273978,0.37222
Zach Morgan,SFG,0.904952,0.8165,0.1748,0.0146,0.0801,0.0699,0.0081,0.280577,0.314391
Josh Caron,SEA,1,0.9197,0.1741,0.0246,0.0926,0.0598,0.009,0.243949,0.31706
Daniel Johnson,,1,0.9231,0.2109,0.0323,0.11,0.0551,0.01,0.277275,0.385765
Ramon Ramirez,KCR,1,0.9252,0.1942,0.0264,0.0954,0.0533,0.01,0.258612,0.338738
Elih Marrero,KCR,1,0.9161,0.1981,0.0124,0.0921,0.0634,0.009,0.271668,0.317323
Jefferson Rojas,NYM,1,0.9151,0.2086,0.0272,0.1052,0.0634,0.01,0.283218,0.366954
Marcos Castañon,SDP,1,0.9242,0.2115,0.0291,0.1012,0.0553,0.009,0.276991,0.37005
Nolan Jones,SEA,1,0.8754,0.1904,0.0253,0.1047,0.1047,0.009,0.305199,0.355266
Bryan Rincon,PHI,1,0.8735,0.179,0.0232,0.1054,0.103,0.012,0.29527,0.334173
Hector Osorio,TEX,1,0.8968,0.1929,0.025,0.099,0.0757,0.016,0.285829,0.334523
Dean Curley,CLE,1,0.8787,0.1765,0.0175,0.0933,0.0978,0.012,0.287536,0.306931
Chas McCormick,CHC,1,0.8871,0.207,0.0284,0.1108,0.0871,0.014,0.309462,0.370759
Tristan Gray,MIN,1.2606,1.1592,0.2495,0.036,0.1248,0.0742,0.0113,0.267124,0.361629
Ryan Bliss,SEA,1,0.9119,0.1967,0.018,0.0992,0.0648,0.011,0.273842,0.332822
Jimmy Crooks,STL,0.291922,0.2619,0.0596,0.0093,0.031,0.0224,0.0041,0.296284,0.381061
Jordan Groshans,ATL,1,0.9141,0.2168,0.0249,0.1047,0.0674,0.007,0.292458,0.372498
Jose Cordova,COL,1,0.9134,0.2189,0.0156,0.0996,0.0651,0.01,0.29527,0.350558
Felnin Celesten,SEA,1,0.9197,0.1968,0.0176,0.0923,0.0598,0.009,0.266747,0.319996
Jason Delay,BOS,1,0.9083,0.1938,0.0096,0.0894,0.0668,0.013,0.274892,0.304415
Thairo Estrada,,1,0.9293,0.241,0.0264,0.1076,0.0464,0.014,0.302368,0.400517
Noelvi Marte,CIN,1.29638,1.2032,0.3028,0.0416,0.1405,0.0686,0.0104,0.295625,0.409325
Chris Williams,,1,0.8844,0.1595,0.0309,0.0994,0.0931,0.011,0.264738,0.325192
Yohendrick Piñango,TOR,1.00154,0.9063,0.2143,0.027,0.1072,0.0771,0.007,0.299148,0.381772
Cooper Kinney,TBR,1,0.926,0.212,0.0237,0.099,0.0555,0.007,0.275685,0.363607
Tommy Pham,CHW,5.87043,5.2078,1.2196,0.1546,0.645,0.5636,0.0352,0.311018,0.372806
Charles Davalan,LAD,1,0.9082,0.2066,0.0286,0.1075,0.0633,0.017,0.288139,0.365778
Omar Alfonzo,NYY,1,0.9055,0.177,0.0258,0.0928,0.074,0.009,0.261123,0.319713
Cade McGee,STL,1,0.9055,0.1809,0.0247,0.0948,0.067,0.016,0.26504,0.328216
Jake Thompson,LAA,1,0.8953,0.2106,0.0235,0.1007,0.0792,0.014,0.305112,0.368033
Ryan Fitzgerald,LAD,1,0.914,0.2111,0.0262,0.1071,0.0623,0.012,0.286633,0.374398
Tsung-Che Cheng,BOS,1,0.8969,0.1927,0.0134,0.0974,0.0837,0.007,0.284824,0.32066
Tyler Austin,CHC,1,0.9034,0.2221,0.0393,0.1196,0.0781,0.007,0.308527,0.431813
Dakota Jordan,SFG,1,0.931,0.2173,0.026,0.0981,0.0495,0.008,0.275987,0.371858
Lorenzo Cedrola,,1,0.9171,0.2138,0.0157,0.0962,0.0534,0.018,0.286432,0.337041
Heston Kjerstad,BAL,1.93164,1.7723,0.4167,0.0606,0.1992,0.1088,0.029,0.288232,0.389212
Eric Genther,NYY,1,0.8956,0.178,0.0198,0.0911,0.0729,0.02,0.27207,0.301139
Gabriel Cancel,,1,0.9005,0.1892,0.0257,0.0999,0.077,0.011,0.278397,0.346252
Peyton Wilson,KCR,1,0.905,0.2072,0.014,0.0988,0.0735,0.01,0.291955,0.33779
Sam Kulasingam,KCR,1,0.899,0.2088,0.0108,0.0971,0.0805,0.009,0.299588,0.330033
Graysen Tarlow,STL,1,0.9016,0.1933,0.0135,0.0894,0.0739,0.013,0.28141,0.304015
Justin Riemer,ATH,1,0.8546,0.1917,0.0086,0.0949,0.1189,0.015,0.327006,0.300374
Mitch Voit,NYM,1,0.9131,0.2059,0.016,0.0983,0.0614,0.014,0.282515,0.327018
Carson DeMartini,PHI,1,0.8895,0.1971,0.0235,0.1079,0.088,0.011,0.297379,0.353682
Owen Caissie,MIA,1,0.8911,0.2036,0.0377,0.1093,0.0895,0.009,0.3031,0.407586
Jonny Farmelo,SEA,1,0.8938,0.1786,0.0205,0.0972,0.0867,0.008,0.27448,0.320206
Edward Duran,TOR,1,0.9265,0.1998,0.0144,0.0879,0.051,0.011,0.262931,0.313438
Starling Marte,,1,0.9088,0.2337,0.0211,0.1046,0.063,0.018,0.315679,0.37643
Alejo Lopez,KCR,1,0.897,0.2241,0.0088,0.0988,0.0765,0.015,0.316963,0.332887
Frainyer Chavez,TEX,1,0.9018,0.196,0.0131,0.0916,0.0787,0.008,0.283921,0.30428
Andy Weber,CHW,1,0.9275,0.2107,0.0163,0.0915,0.054,0.007,0.272873,0.331968
Eli White,BOS,1,0.9136,0.22,0.0295,0.1092,0.0638,0.011,0.296103,0.390981
J.J. D'Orazio,LAA,1,0.9271,0.1968,0.0194,0.086,0.0534,0.008,0.259315,0.317981
Corey Joyce,TEX,1,0.8918,0.1921,0.0168,0.0955,0.0827,0.014,0.290047,0.318009
Franklin Primera,BOS,1,0.9067,0.1929,0.0168,0.0898,0.0618,0.02,0.275886,0.303959
Enmanuel Valdez,PIT,1,0.9052,0.2165,0.0327,0.1112,0.0762,0.008,0.301756,0.409412
Vidal Bruján,NYM,1,0.8893,0.2015,0.015,0.1015,0.0869,0.012,0.301728,0.333633
Logan Sauve,ATH,1,0.8969,0.1922,0.0132,0.0899,0.0786,0.013,0.285026,0.30795
Will Turner,BOS,1,0.8539,0.1598,0.0256,0.104,0.1236,0.011,0.295671,0.325097
Walker Janek,HOU,1,0.9334,0.1918,0.0222,0.0938,0.0451,0.01,0.247966,0.325584
Carlos Rodríguez,SDP,1,0.9091,0.2175,0.0121,0.0956,0.0754,0.004,0.298182,0.328457
Duce Gourson,PIT,1,0.8873,0.2007,0.0179,0.1035,0.0852,0.016,0.303204,0.343627
Brennen Davis,SEA,1,0.8917,0.1806,0.0378,0.1072,0.0758,0.021,0.278598,0.371986
Tavian Josenberger,BAL,1,0.8848,0.1784,0.0203,0.0999,0.0957,0.008,0.283318,0.317021
Jake Rucker,MIN,1,0.9074,0.2017,0.0186,0.0965,0.0711,0.01,0.284021,0.339542
Jose Mujica,ATH,1,0.9251,0.2021,0.0218,0.0934,0.0534,0.01,0.266647,0.337693
Pablo Reyes,LAA,1,0.8965,0.216,0.0207,0.1015,0.0841,0.008,0.309399,0.361852
Dayson Croes,SFG,1,0.926,0.2319,0.0071,0.0892,0.0495,0.013,0.295671,0.340173
Elijah Hainline,LAD,1,0.8816,0.1829,0.0189,0.1004,0.0959,0.011,0.291052,0.317151
Edian Espinal,DET,1,0.9172,0.1976,0.0133,0.0887,0.0603,0.011,0.270061,0.302442
Seth Stephenson,DET,1,0.9223,0.2141,0.0127,0.1003,0.0452,0.021,0.281511,0.326683
Justice Bigbie,DET,1,0.9092,0.23,0.018,0.1014,0.0703,0.009,0.310636,0.360097
Jorge Corona,CHW,1,0.9205,0.1793,0.0283,0.0924,0.05,0.018,0.248368,0.330255
Estevan Florial,,1,0.8948,0.1966,0.0301,0.1075,0.0857,0.008,0.291583,0.374609
Eric Haase,ATL,1,0.9112,0.1911,0.0325,0.1024,0.0674,0.009,0.268817,0.356124
Akil Baddoo,MIL,1,0.8826,0.1958,0.0315,0.1127,0.1007,0.005,0.302832,0.386585
Kala'i Rosario,MIN,1,0.8982,0.1955,0.0345,0.1087,0.0813,0.009,0.287034,0.386885
Edwin Arroyo,CIN,0.626108,0.5789,0.1434,0.012,0.0639,0.0324,0.0069,0.293306,0.371912
Jacob Sharp,TOR,1,0.9155,0.1831,0.0202,0.0902,0.056,0.017,0.257206,0.313927
Cooper Johnson,TEX,1,0.8988,0.1645,0.0244,0.0919,0.0817,0.008,0.255298,0.307632
Zyhir Hope,DET,1,0.9082,0.2138,0.028,0.1074,0.0733,0.007,0.29537,0.380973
Joseph Sullivan,HOU,1,0.8833,0.1733,0.0257,0.1021,0.0892,0.016,0.279703,0.330126
Xavier Isaac,TBR,1,0.8694,0.1841,0.0387,0.1148,0.1101,0.009,0.304509,0.392109
Diego Velasquez,SFG,1,0.8973,0.2143,0.0065,0.0894,0.0792,0.012,0.306819,0.315725
Mitch Jebb,PIT,1,0.9053,0.2218,0.0114,0.0999,0.0772,0.006,0.306317,0.34287
Kenny Piper,TBR,0.356571,0.32,0.0631,0.0115,0.0366,0.0281,0.0053,0.27122,0.354375
Garrett Stubbs,PHI,1.1954,1.072,0.2354,0.0239,0.1221,0.0909,0.0179,0.289365,0.330224
Drew Romo,CHW,0.283318,0.2582,0.0548,0.0086,0.0287,0.0184,0.0031,0.270759,0.354764
Braylon Payne,MIL,1,0.9201,0.1982,0.035,0.1065,0.0614,0.007,0.267751,0.379959
Gleider Figuereo,TEX,1,0.9207,0.1939,0.0329,0.1005,0.0588,0.009,0.26283,0.359944
Eric Snow,TOR,1,0.9235,0.213,0.0093,0.0903,0.056,0.009,0.279201,0.312832
Rob Refsnyder,,1,0.8796,0.2034,0.0297,0.11,0.097,0.013,0.314469,0.380514
Eguy Rosario,,1,0.9048,0.1889,0.0312,0.1034,0.0744,0.009,0.273531,0.361848
Nelson Rada,LAA,1,0.8904,0.2006,0.0081,0.0905,0.0861,0.012,0.29999,0.297956
Kyle Nevin,LAD,1,0.9192,0.2153,0.0225,0.1031,0.0603,0.009,0.285829,0.356941
Michael Helman,TEX,1.91068,1.7506,0.3633,0.0533,0.1931,0.1123,0.0248,0.263133,0.347652
John Gil,ATL,1,0.9151,0.2081,0.0151,0.0987,0.0654,0.008,0.282716,0.327614
Nick Mitchell,WSN,1,0.8982,0.211,0.0143,0.098,0.0803,0.01,0.302601,0.335671
Antonio Gomez,NYY,1,0.9177,0.1852,0.0205,0.0904,0.0618,0.009,0.257106,0.314482
Alex Lodise,ATL,1,0.9319,0.2128,0.0232,0.0987,0.0436,0.013,0.270563,0.355725
Sam Petersen,WSN,1,0.8902,0.1919,0.024,0.1028,0.0803,0.018,0.291453,0.347899
Jared Sundstrom,SEA,1,0.9137,0.181,0.0281,0.0985,0.0628,0.012,0.256905,0.339389
River Town,,1,0.8779,0.2022,0.0201,0.1052,0.0946,0.016,0.314151,0.351065
Maxwell Romero Jr.,WSN,1,0.9042,0.1767,0.0305,0.0962,0.0723,0.012,0.262127,0.338089
Dairon Blanco,,1,0.9103,0.2133,0.0202,0.1089,0.0624,0.016,0.292901,0.352631
Connor Caskenette,MIA,1,0.9061,0.1913,0.0166,0.0915,0.0714,0.011,0.274882,0.313321
Riley Adams,WSN,0.597658,0.5339,0.1181,0.0194,0.062,0.0462,0.0108,0.294137,0.37891
Justyn-Henry Malloy,TBR,1,0.8512,0.1887,0.0285,0.1146,0.1242,0.014,0.328147,0.370066
Emil Morales,LAD,1,0.9251,0.1989,0.0317,0.1024,0.0544,0.009,0.263433,0.359853
Jack Suwinski,TBR,0.368392,0.3241,0.0695,0.0144,0.0414,0.0368,0.0037,0.299564,0.3971
Damon Dues,,1,0.873,0.1887,0.0087,0.0939,0.1065,0.009,0.305514,0.297251
Aiva Arquette,MIA,1,0.9282,0.2161,0.0189,0.0965,0.0503,0.01,0.277594,0.347123
Keyber Rodriguez,TEX,1,0.9317,0.2038,0.0191,0.0931,0.0488,0.008,0.261725,0.332725
Jose Colmenares,CHW,1,0.9125,0.1904,0.0202,0.0936,0.065,0.011,0.26755,0.326027
Payton Henry,PHI,1,0.9235,0.1997,0.0261,0.0961,0.051,0.014,0.265843,0.340011
John Garcia,HOU,1,0.9044,0.1802,0.0151,0.0891,0.0671,0.017,0.265441,0.294007
