Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Yandy Díaz,TBR,38.3447,33.828,9.6859,1.2688,5.2662,3.6389,0.4218,0.360583,0.453145
Steven Kwan,CLE,32.6036,28.3875,7.7815,0.4451,4.0321,3.5831,0.2282,0.3578,0.37606
Jackson Chourio,MIL,33.2889,30.2946,8.1301,1.3628,4.5922,2.4134,0.1997,0.324272,0.464535
Nico Hoerner,CHC,31.0286,28.202,7.8866,0.4316,3.3915,2.082,0.4344,0.336372,0.383104
Pete Alonso,BAL,32.9099,28.4911,7.1659,1.7776,4.5698,3.4786,0.6253,0.343383,0.486784
Dansby Swanson,CHC,28.803,25.5978,6.0591,0.9607,3.3905,2.6816,0.1728,0.310944,0.400984
Konnor Griffin,PIT,32.6546,29.5746,7.9748,0.7314,4.2,2.1944,0.4898,0.328325,0.408404
Liam Hicks,TBR,25.3533,21.9258,5.7183,0.6274,2.9255,2.7128,0.4817,0.352386,0.395
Trea Turner,PHI,33.8626,30.8578,8.2355,0.9724,4.5044,2.3027,0.3048,0.321872,0.419035
Manny Machado,SDP,32.599,29.1271,7.3644,1.383,3.9511,3.0773,0.1304,0.324599,0.441379
Oneil Cruz,PIT,32.0063,27.8845,6.6341,1.3158,4.1903,3.5303,0.2881,0.32745,0.432742
Josh Jung,TEX,30.2183,27.6576,7.3451,1.0129,3.4951,1.9551,0.3324,0.319361,0.433328
CJ Abrams,WSN,32.6194,29.2116,7.3201,1.2307,4.1895,2.4595,0.6524,0.320656,0.43999
Caleb Durbin,BOS,28.8853,25.4853,6.6054,0.6753,3.2822,2.3022,0.7799,0.336656,0.401788
Luke Keaschall,MIN,29.9509,26.0514,7.108,0.5769,3.702,2.8304,0.7188,0.357648,0.400113
Chase Meidroth,CHW,29.7702,25.9045,6.5775,0.5858,3.2291,3.1259,0.387,0.34054,0.368453
J.P. Crawford,SEA,31.1135,26.4167,6.261,0.6859,3.709,3.9701,0.3422,0.341854,0.360605
Ryan Jeffers,MIN,25.6393,22.2191,5.5564,0.9316,3.1389,2.7332,0.4615,0.341976,0.435648
Drake Baldwin,ATL,32.06,28.4418,7.6426,1.2957,4.3799,2.9239,0.3206,0.341392,0.452433
Kyle Tucker,LAD,31.103,26.4669,6.7964,1.2432,4.1373,4.1522,0.1866,0.358994,0.456449
Carter Jensen,KCR,27.5622,24.2358,5.7444,1.068,3.5944,2.8279,0.1654,0.318838,0.430966
Luis Arraez,PHI,32.8502,30.4687,9.3307,0.4104,3.857,1.8068,0.2628,0.348064,0.411521
Freddie Freeman,LAD,32.9309,28.6758,8.0621,1.0672,4.4373,3.5203,0.4281,0.365553,0.456514
Wilyer Abreu,BOS,31.1031,27.3242,6.7889,1.2511,3.8673,3.3156,0.1866,0.331363,0.450655
Randy Arozarena,SEA,31.767,27.1572,6.6722,1.1165,4.1941,3.2625,1.0165,0.345979,0.422319
Kazuma Okamoto,TOR,30.1375,26.8796,6.3611,1.3913,3.545,2.6521,0.3315,0.310736,0.439865
Xavier Edwards,MIA,31.1414,27.5607,7.7401,0.2961,3.4711,3.1017,0.1557,0.354447,0.373586
Max Muncy,LAD,25.4778,21.3346,4.8961,1.2123,3.3241,3.5541,0.3567,0.346411,0.447109
Cole Young,SEA,28.6,25.5403,6.3543,0.7492,3.1121,2.2794,0.4576,0.319235,0.393985
Roman Anthony,BOS,32.103,27.423,6.9997,0.966,4.3926,4.0321,0.2568,0.353776,0.429628
Brooks Lee,MIN,30.7272,28.2341,7.0581,1.0379,3.5391,1.9358,0.2151,0.300927,0.414598
Brayan Rocchio,CLE,25.8227,23.1424,5.7198,0.5736,2.8791,1.9522,0.4132,0.314619,0.38343
Masyn Winn,STL,27.1675,24.4524,6.0949,0.5192,2.8038,2.1136,0.2988,0.314423,0.371387
Walker Jenkins,MIN,25.2976,22.3224,5.6578,0.6944,2.9223,2.3653,0.2783,0.329935,0.410005
Travis Bazzana,CLE,27.3928,23.7399,5.7575,0.7307,3.2421,3.0379,0.3287,0.334194,0.398569
