#,Name,Team,G,PA,AB,H,HR,R,BB,HBP,OBP,SLG,wOBA,wRC+,ADP
1826,Antonio Anderson,BOS,111,465,421,87,6,45,36,4,0.273,0.299,0.246,50,999
1827,Ruben Santana,,123,502,455,93,7,46,37,7,0.273,0.299,0.248,54,999
1828,Luis Sanchez,CHC,70,279,254,45,2,27,18,6,0.247,0.24,0.212,32,999
1829,Kevin Graham,,76,284,261,49,3,24,19,2,0.246,0.276,0.224,38,999
1830,Diego Mosquera,NYM,81,278,250,51,0,18,18,5,0.27,0.236,0.221,41,999
1831,Evan Edwards,,83,311,276,51,6,20,27,5,0.267,0.29,0.246,53,999
1832,Johnfrank Salazar,STL,88,333,303,65,2,28,20,6,0.275,0.281,0.236,49,999
1833,Kay-Lan Nicasia,,92,331,292,45,8,33,33,4,0.248,0.284,0.234,47,999
1834,EJ Andrews Jr.,,96,338,301,57,6,32,26,3,0.26,0.309,0.25,43,999
1835,Cole McConnell,,96,393,352,70,5,38,31,9,0.28,0.278,0.253,59,999
1836,Nick Roselli,NYM,98,380,342,66,9,39,26,6,0.262,0.33,0.26,67,999
1837,Dyan Jorge,COL,122,490,449,105,2,57,32,3,0.288,0.29,0.246,40,999
1838,Skyler Messinger,COL,104,406,376,84,7,35,19,7,0.271,0.33,0.257,48,999
1839,Jefrey De Los Santos,,91,339,307,59,5,31,24,4,0.258,0.3,0.244,56,999
1840,Jake Gatewood,,87,338,311,54,9,32,20,4,0.232,0.312,0.23,44,999
1841,Haydn McGeary,,100,399,355,71,8,33,37,4,0.281,0.307,0.256,63,999
1842,T.J. White,WSN,124,485,446,95,12,37,33,3,0.27,0.341,0.261,64,999
1843,Ryan Wrobleski,,71,271,248,49,5,22,15,7,0.262,0.302,0.239,50,999
1844,Andy Garriola,CHC,105,411,382,72,10,40,19,7,0.239,0.319,0.235,49,999
1845,Ariel Almonte,CIN,116,468,431,83,15,45,33,2,0.252,0.348,0.26,59,999
1846,Juan Baez,MIL,122,489,448,90,1,42,34,4,0.262,0.241,0.213,32,999
1847,Luis Encarnacion,,95,365,344,72,9,31,16,3,0.249,0.326,0.241,51,999
1848,Nathan Hickey,BOS,117,461,405,87,12,45,49,4,0.304,0.363,0.289,80,999
1849,Rafael Morel,,111,416,374,70,5,47,33,6,0.263,0.262,0.232,46,999
1850,Christopher Paciolla,,70,277,260,47,2,19,11,5,0.227,0.25,0.202,26,999
1851,Brandon Pimentel,,90,354,332,72,4,30,10,10,0.26,0.301,0.24,50,999
1852,Nolan Clifford,,77,255,226,45,0,19,21,5,0.281,0.235,0.233,31,999
1853,Juan Corniel,,100,366,336,68,1,35,19,3,0.251,0.259,0.22,35,999
1854,Jackson Ross,WSN,92,356,323,60,7,36,26,2,0.249,0.31,0.235,47,999
1855,Juan Guerrero,,113,475,440,113,4,52,24,3,0.297,0.339,0.269,56,999
1856,Yerlin Confidan,CIN,116,472,433,91,6,45,34,3,0.272,0.314,0.253,54,999
1857,Jack Costello,SDP,104,425,392,78,10,39,19,13,0.259,0.316,0.244,57,999
1858,Tyler Miller,,96,376,347,73,7,36,21,3,0.259,0.323,0.249,52,999
1859,Jean Perez,,84,283,262,57,4,28,6,5,0.248,0.302,0.227,27,999
1860,Elvis Rijo,,48,171,150,24,0,9,8,9,0.244,0.207,0.189,12,999
1861,Darlyn Montero,,78,310,288,61,4,29,13,6,0.259,0.295,0.238,45,999
1862,Jose Sanabria,,55,208,190,33,1,18,14,2,0.237,0.226,0.188,18,999
1863,Donta' Williams,,83,309,275,49,2,26,27,5,0.262,0.247,0.229,42,999
1864,Yhoswar Garcia,,96,358,329,67,1,38,19,2,0.25,0.255,0.219,36,999
1865,Wyatt Hoffman,SDP,90,293,253,40,1,24,22,7,0.243,0.202,0.205,30,999
1866,Alfredo Velásquez,BAL,105,389,371,85,1,43,11,1,0.253,0.272,0.221,38,999
1867,Brandon Eike,SEA,99,407,380,69,7,30,19,6,0.231,0.287,0.213,38,999
1868,Joel Dragoo,PHI,80,315,281,49,0,19,28,3,0.256,0.231,0.218,33,999
1869,Yiddi Cappe,MIA,96,411,387,90,6,43,20,1,0.27,0.331,0.255,59,999
1870,Aneudis Mordán,,75,256,223,46,5,23,15,2,0.261,0.318,0.246,55,999
1871,Fraymi De Leon,,99,347,316,60,2,39,20,6,0.249,0.25,0.211,26,999
1872,Gunner Gouldsmith,ATH,90,337,298,45,0,35,31,5,0.241,0.191,0.194,15,999
1873,Anthony Servideo,,100,371,332,53,3,30,32,2,0.238,0.229,0.21,31,999
1874,Jesus Castillo,PIT,115,435,392,80,1,41,31,7,0.273,0.242,0.226,38,999
1875,Armando Cruz,,110,404,369,73,2,32,14,2,0.23,0.252,0.207,27,999
1876,Tayden Hall,MIL,100,395,339,59,3,34,47,5,0.281,0.242,0.237,49,999
1877,Bryson Horne,,89,348,327,66,7,26,17,2,0.244,0.309,0.233,45,999
1878,John Rhodes,,108,438,396,76,8,39,36,5,0.267,0.295,0.242,52,999
1879,Jesus Bugarin,,96,362,347,83,5,37,9,3,0.263,0.329,0.245,40,999
1880,Bryan Gonzalez,,97,390,363,81,4,38,21,2,0.269,0.325,0.249,53,999
1881,Albert Feliz,,86,298,277,51,9,21,17,2,0.235,0.314,0.232,40,999
1882,Yeison Morrobel,TEX,106,424,394,75,8,32,25,4,0.245,0.297,0.234,47,999
1883,Myles Smith,,93,307,266,46,3,27,29,6,0.268,0.229,0.22,31,999
1884,Tyler Whitaker,HOU,108,415,368,68,4,35,35,8,0.267,0.269,0.235,47,999
1885,Luiyin Alastre,MIL,104,398,370,78,2,36,22,4,0.261,0.268,0.229,43,999
1886,Benny Montgomery,COL,108,436,402,92,6,45,29,3,0.285,0.316,0.258,49,999
1887,Peyton Powell,,85,333,297,59,1,30,32,1,0.278,0.239,0.234,46,999
1888,Jace Grady,,87,332,302,56,3,26,25,2,0.25,0.258,0.223,38,999
1889,Mac McCroskey,LAA,103,326,291,50,1,27,23,3,0.239,0.22,0.204,24,999
1890,Jheremy Vargas,MIL,110,392,361,73,2,32,27,3,0.263,0.247,0.221,38,999
1891,Jackson Nicklaus,,90,340,302,49,8,37,35,2,0.253,0.281,0.229,43,999
1892,Daniel Guilarte,MIL,121,443,402,73,2,44,35,2,0.249,0.236,0.217,35,999
