#,Name,Team,G,PA,AB,H,HR,R,BB,HBP,OBP,SLG,wOBA,wRC+,ADP
134,Luis Robert Jr.,NYM,113,451,409,98,17,56,35,5,0.306,0.413,0.307,99,999
135,Blaze Alexander,BAL,114,443,387,93,11,48,38,12,0.325,0.377,0.306,97,999
136,Dylan Beavers,BAL,131,554,482,122,17,73,62,3,0.339,0.423,0.331,114,999
137,Max Anderson,DET,127,534,497,129,16,72,27,6,0.303,0.419,0.302,92,999
138,Leody Taveras,BAL,133,502,457,117,12,63,37,1,0.311,0.396,0.304,95,999
139,Ryan Clifford,NYM,150,604,521,117,29,71,72,7,0.325,0.441,0.33,115,999
140,Esteury Ruiz,MIA,121,473,411,103,11,67,42,14,0.339,0.397,0.321,104,999
141,Jimmy Crooks,STL,109,449,408,99,11,51,32,5,0.304,0.38,0.292,88,999
142,Zack Gelof,ATH,113,469,417,100,17,63,44,3,0.315,0.42,0.312,96,999
143,Ben Williamson,TBR,133,523,476,124,6,62,37,7,0.322,0.363,0.297,88,999
144,Brenton Doyle,COL,123,475,438,110,15,59,29,2,0.298,0.418,0.301,78,999
145,Rafael Devers,SFG,143,623,537,132,25,79,76,6,0.343,0.445,0.336,118,999
146,Yainer Diaz,HOU,151,599,564,149,20,64,27,3,0.299,0.426,0.299,91,999
147,Munetaka Murakami,CHW,124,516,432,103,24,67,76,5,0.357,0.444,0.348,124,999
148,Jasson Domínguez,NYY,133,513,457,118,20,77,50,2,0.331,0.442,0.331,114,999
149,Sal Frelick,MIL,133,550,496,132,9,70,43,6,0.33,0.379,0.308,97,999
150,Cooper Ingle,CLE,114,467,402,93,8,55,59,3,0.333,0.363,0.307,97,999
151,Spencer Torkelson,DET,151,634,555,134,30,84,67,7,0.328,0.461,0.334,114,999
152,Kyle Manzardo,CLE,137,521,455,112,23,61,53,6,0.328,0.455,0.331,114,999
153,Chris Suero,NYM,123,497,427,91,16,68,51,16,0.318,0.368,0.298,93,999
154,Evan Carter,TEX,119,462,401,96,12,61,51,8,0.335,0.394,0.32,107,999
155,Coby Mayo,BAL,133,527,471,116,22,67,46,7,0.321,0.452,0.328,112,999
156,Victor Scott II,STL,132,501,437,102,8,61,42,9,0.31,0.339,0.286,84,999
157,Darell Hernaiz,ATH,141,576,515,136,8,66,46,4,0.326,0.377,0.301,89,999
158,Jahmai Jones,DET,116,370,317,77,10,51,40,10,0.345,0.413,0.331,112,999
159,Jacob Wilson,ATH,135,543,501,142,11,65,31,6,0.331,0.413,0.314,98,999
160,Parker Meadows,DET,115,472,418,99,12,60,45,3,0.313,0.392,0.305,95,999
161,Carson Roccaforte,KCR,125,527,468,106,13,65,53,3,0.308,0.385,0.301,89,999
162,Davis Schneider,TOR,121,434,369,82,16,52,57,5,0.332,0.412,0.323,107,999
163,Gleyber Torres,DET,138,584,508,128,15,70,66,3,0.338,0.39,0.314,101,999
164,Justin Crawford,PHI,131,566,514,144,8,88,41,2,0.335,0.389,0.313,99,999
165,Ben Rice,NYY,127,500,436,106,24,70,52,8,0.332,0.463,0.337,118,999
166,Dylan Crews,WSN,117,469,421,104,13,64,36,9,0.318,0.399,0.308,97,999
167,Jonathan Aranda,TBR,113,443,388,102,15,57,44,7,0.345,0.425,0.331,112,999
168,Joshua Kuroda-Grauer,ATH,126,541,497,131,2,51,31,10,0.319,0.334,0.283,77,999
169,Kazuma Okamoto,TOR,110,462,405,98,17,49,46,8,0.329,0.422,0.323,108,999
170,Brent Rooker,ATH,139,574,509,132,27,70,55,6,0.336,0.477,0.345,120,999
171,Connor Norby,MIA,119,506,460,117,16,71,37,5,0.314,0.415,0.31,97,999
172,Jadher Areinamo,TBR,138,590,545,142,15,67,34,4,0.305,0.396,0.29,83,999
173,Otto Kemp,PHI,128,519,454,111,17,75,39,21,0.329,0.423,0.323,105,999
174,Josh Naylor,SEA,136,553,497,133,18,61,45,5,0.331,0.431,0.32,111,999
175,Henry Bolte,ATH,135,561,500,126,13,71,48,11,0.33,0.402,0.316,99,999
176,Pete Alonso,BAL,140,602,532,138,27,68,51,12,0.334,0.474,0.336,117,999
177,Nacho Alvarez Jr.,ATL,116,473,420,103,8,51,40,11,0.326,0.355,0.293,86,999
178,Creed Willems,BAL,112,442,399,90,15,39,30,8,0.291,0.388,0.29,86,999
179,Franklin Arias,BOS,128,569,527,135,10,61,35,5,0.308,0.376,0.293,82,999
180,Colby Thomas,ATH,132,527,478,121,20,69,32,11,0.312,0.45,0.322,104,999
181,Lars Nootbaar,STL,124,497,429,105,14,62,60,3,0.339,0.403,0.322,108,999
182,Jared Triolo,PIT,111,416,367,90,7,49,43,3,0.328,0.362,0.302,91,999
183,Joshua Báez,STL,126,500,445,108,15,63,40,10,0.317,0.404,0.309,100,999
184,Trey Sweeney,DET,121,461,413,96,13,59,41,4,0.306,0.378,0.296,89,999
185,Jung Hoo Lee,SFG,120,505,459,123,8,56,39,4,0.329,0.399,0.315,104,999
186,Leo Rivas,SEA,110,393,323,72,5,52,56,4,0.341,0.313,0.295,94,999
187,Otto Lopez,MIA,126,504,463,121,9,57,34,4,0.316,0.376,0.296,87,999
188,Seiya Suzuki,CHC,129,543,476,119,21,63,58,3,0.331,0.443,0.329,113,999
189,Brayan Rocchio,CLE,145,547,486,119,10,64,44,8,0.315,0.372,0.295,89,999
190,Jonatan Clase,TOR,128,520,466,109,13,67,44,4,0.304,0.386,0.298,90,999
191,Bo Davidson,SFG,128,545,493,123,12,67,48,2,0.318,0.379,0.304,97,999
192,Miguel Vargas,CHW,136,550,479,116,16,77,60,6,0.331,0.411,0.32,104,999
193,Milan Tolentino,CLE,127,490,434,96,13,57,48,3,0.301,0.369,0.291,87,999
194,CJ Kayfus,CLE,133,526,461,116,15,65,51,9,0.335,0.432,0.328,112,999
195,Pedro Ramirez,CHC,138,590,538,132,8,63,39,7,0.302,0.344,0.275,76,999
196,Kyle Stowers,MIA,119,453,398,98,19,53,44,7,0.329,0.452,0.332,112,999
197,Heliot Ramos,SFG,151,635,568,147,22,79,50,12,0.329,0.43,0.322,109,999
198,Omar Alfonzo,PIT,124,492,439,101,11,48,45,5,0.308,0.358,0.291,83,999
199,Ernie Clement,TOR,130,450,420,111,8,54,19,3,0.298,0.383,0.288,83,999
200,Addison Barger,TOR,130,501,451,112,19,61,44,4,0.319,0.441,0.325,109,999
201,Kristian Campbell,BOS,140,567,497,124,13,68,56,13,0.34,0.39,0.317,99,999
202,Manny Machado,SDP,123,521,471,117,17,60,44,2,0.313,0.403,0.301,96,999
203,Chase Meidroth,CHW,130,554,476,118,7,66,64,10,0.348,0.336,0.302,92,999
204,Drew Cavanaugh,SFG,88,378,331,73,8,44,35,9,0.31,0.338,0.29,86,999
205,Duce Gourson,PIT,108,429,376,90,7,49,34,12,0.321,0.362,0.3,89,999
206,Tyler Soderstrom,ATH,150,579,520,136,26,68,50,6,0.332,0.467,0.336,113,999
207,José Tena,WSN,123,497,452,116,10,57,38,2,0.316,0.387,0.303,93,999
208,Eddys Leonard,MIL,125,495,449,106,17,53,30,11,0.298,0.408,0.298,91,999
209,Rafael Flores Jr.,PIT,152,612,556,141,18,64,50,4,0.319,0.41,0.309,95,999
210,Kyle Karros,COL,128,513,458,119,8,66,45,7,0.333,0.384,0.307,82,999
211,Carson Benge,NYM,127,557,492,122,15,78,55,8,0.332,0.411,0.32,108,999
212,James Outman,MIN,126,471,410,90,17,65,49,8,0.312,0.402,0.311,98,999
213,Michael Stefanic,ATH,103,400,348,95,3,40,39,9,0.358,0.348,0.309,94,999
214,Termarr Johnson,PIT,137,567,501,122,10,64,53,6,0.321,0.355,0.295,86,999
215,Eduardo Tait,MIN,123,524,486,115,14,57,26,5,0.279,0.393,0.281,77,999
216,Samad Taylor,SDP,135,570,498,124,10,80,50,4,0.32,0.367,0.297,93,999
217,Ian Happ,CHC,132,560,486,114,17,66,66,4,0.329,0.399,0.315,103,999
218,Juan Brito,CLE,121,522,455,107,13,64,54,6,0.322,0.385,0.306,96,999
219,Rece Hinds,MIA,131,503,462,117,24,70,32,5,0.306,0.481,0.329,106,999
220,Alfonsin Rosario,CLE,131,545,489,115,22,69,43,11,0.31,0.425,0.315,102,999
221,Javier Sanoja,MIA,144,521,478,126,8,58,33,2,0.311,0.391,0.298,88,999
222,Jake Meyers,HOU,108,371,333,81,7,42,30,4,0.312,0.363,0.29,85,999
223,Aidan Smith,TBR,116,524,470,107,16,81,45,6,0.302,0.389,0.298,89,999
224,Denzel Clarke,ATH,97,390,347,80,8,51,32,8,0.308,0.372,0.295,85,999
225,Graham Pauley,MIA,119,459,409,95,12,54,41,6,0.31,0.381,0.3,89,999
226,Sean Murphy,ATL,85,326,284,60,12,33,32,8,0.307,0.384,0.294,87,999
227,Luis Campusano,SDP,109,423,377,93,13,52,41,3,0.324,0.398,0.304,97,999
228,Josh Smith,TEX,138,512,447,109,12,62,50,11,0.333,0.383,0.314,102,999
229,Eduardo Quintero,LAD,129,578,504,117,19,89,60,7,0.319,0.399,0.309,98,999
230,Bryce Eldridge,SFG,139,550,490,121,25,58,49,5,0.318,0.459,0.33,114,999
231,Kameron Misner,KCR,108,422,369,81,10,51,47,3,0.311,0.371,0.298,87,999
232,RJ Schreck,TOR,114,438,375,83,17,58,50,10,0.329,0.408,0.32,105,999
233,Alan Roden,MIN,112,438,384,100,8,56,39,12,0.345,0.388,0.32,104,999
234,David Hamilton,MIL,107,369,332,74,10,49,32,2,0.294,0.361,0.287,83,999
235,Matt Olson,ATL,134,577,503,120,22,69,66,4,0.329,0.427,0.322,106,999
236,Jeferson Quero,MIL,90,380,343,81,12,43,30,3,0.3,0.388,0.29,85,999
237,Nathan Flewelling,TBR,125,534,455,86,10,50,65,6,0.295,0.323,0.272,71,999
238,Charles McAdoo,TOR,130,505,459,108,16,59,39,4,0.3,0.399,0.298,90,999
239,Nick Gonzales,PIT,112,466,424,109,9,54,31,7,0.315,0.399,0.305,92,999
240,J.P. Crawford,SEA,126,526,454,106,9,55,60,5,0.328,0.341,0.295,94,999
241,Grant McCray,SFG,131,538,483,114,13,76,45,5,0.306,0.383,0.299,92,999
242,Bryce Harper,PHI,109,471,410,105,17,58,54,4,0.346,0.441,0.337,115,999
243,Royce Lewis,MIN,104,403,367,91,15,45,30,2,0.305,0.42,0.307,95,999
244,Jesús Made,MIL,128,558,504,119,9,81,48,4,0.306,0.357,0.288,84,999
245,Joseph Sullivan,HOU,115,502,423,88,15,55,59,18,0.329,0.35,0.304,95,999
246,Lazaro Montes,SEA,144,624,553,121,26,73,62,5,0.301,0.412,0.307,103,999
247,Cooper Pratt,MIL,139,569,499,113,8,69,52,8,0.306,0.327,0.273,74,999
248,Denzer Guzman,LAA,149,592,531,123,17,65,49,7,0.304,0.386,0.296,87,999
249,Marcus Semien,NYM,101,443,396,92,11,56,40,3,0.305,0.366,0.291,88,999
250,Nelson Rada,LAA,152,628,544,136,4,73,57,12,0.333,0.314,0.29,83,999
251,Austin Overn,TBR,125,504,443,104,13,67,47,5,0.313,0.372,0.298,89,999
252,Braden Montgomery,CHW,138,557,503,123,13,61,42,8,0.311,0.404,0.311,99,999
253,Brandon Lockridge,MIL,101,350,311,76,4,43,29,4,0.315,0.35,0.29,85,999
254,Dom Keegan,TBR,92,385,345,79,10,42,30,5,0.296,0.377,0.288,82,999
255,Iván Herrera,STL,122,488,421,113,15,61,53,10,0.361,0.428,0.335,117,999
256,John Peck,DET,127,514,476,118,10,71,31,5,0.3,0.37,0.289,83,999
257,Brandon Marsh,PHI,129,440,389,97,12,52,43,2,0.324,0.406,0.317,101,999
258,Xander Bogaerts,SDP,109,446,400,100,8,47,37,4,0.316,0.358,0.288,87,999
259,Jhostynxon Garcia,PIT,127,515,468,115,17,71,36,7,0.307,0.417,0.308,95,999
260,Jesús Bastidas,MIA,123,503,449,104,12,61,37,14,0.309,0.374,0.295,86,999
261,Ryan Bliss,SEA,114,476,425,95,9,60,40,6,0.297,0.346,0.28,84,999
262,Sung-Mun Song,SDP,118,507,458,110,11,56,43,1,0.304,0.362,0.289,87,999
263,Walker Jenkins,MIN,98,428,376,94,10,52,42,7,0.334,0.402,0.321,105,999
264,Christian Moore,LAA,133,506,450,106,14,58,48,3,0.311,0.384,0.296,87,999
265,Ha-Seong Kim,ATL,101,403,352,84,7,44,43,3,0.324,0.344,0.294,87,999
266,Johan Rojas,PHI,125,437,398,99,5,56,25,4,0.298,0.347,0.277,74,999
267,Alejandro Osuna,TEX,125,474,415,101,9,58,43,9,0.326,0.369,0.304,96,999
268,Joey Ortiz,MIL,132,487,439,109,9,62,36,5,0.311,0.376,0.293,87,999
269,Junior Perez,CHW,132,536,473,106,17,66,53,3,0.305,0.4,0.303,90,999
270,Tyler Fitzgerald,LAD,116,449,408,97,12,55,28,7,0.296,0.385,0.294,89,999
271,Petey Halpin,CLE,126,526,476,112,12,72,42,3,0.299,0.376,0.293,88,999
272,Brandon Nimmo,TEX,117,507,446,105,14,60,48,9,0.32,0.383,0.307,97,999
273,Blake Dunn,CIN,120,464,399,97,10,61,42,15,0.336,0.363,0.31,93,999
274,Jorge Barrosa,ARI,118,498,445,105,8,58,43,3,0.306,0.355,0.287,81,999
275,Joey Loperfido,HOU,121,458,412,100,13,55,33,8,0.31,0.398,0.302,93,999
276,Esmerlyn Valdez,PIT,139,567,505,126,21,66,47,12,0.326,0.436,0.327,108,999
277,Gabriel Gonzalez,MIN,135,565,513,141,13,62,37,10,0.333,0.431,0.318,103,999
278,Jacob Young,WSN,127,465,413,104,3,59,33,8,0.318,0.327,0.282,79,999
279,Braiden Ward,BOS,108,386,332,82,3,59,23,23,0.338,0.334,0.303,89,999
280,Spencer Horwitz,PIT,121,492,431,114,10,58,52,6,0.35,0.406,0.326,107,999
281,Homer Bush Jr.,TBR,122,514,459,118,3,60,33,11,0.321,0.329,0.29,83,999
282,Daniel Susac,SFG,99,400,369,89,11,35,22,5,0.29,0.382,0.285,83,999
283,Alex Bregman,CHC,115,495,430,99,13,57,54,7,0.323,0.372,0.299,92,999
284,Seth Stephenson,DET,114,494,439,111,6,74,26,19,0.321,0.355,0.298,90,999
285,Victor Mesa Jr.,TBR,104,434,397,97,12,49,31,3,0.303,0.39,0.298,89,999
286,Kerry Carpenter,DET,125,459,419,106,20,56,32,6,0.314,0.456,0.326,109,999
287,Walker Janek,HOU,96,400,370,79,10,50,22,7,0.27,0.351,0.27,71,999
288,Luis García Jr.,WSN,138,531,494,131,15,65,30,1,0.305,0.413,0.302,93,999
289,Kyle Isbel,KCR,123,375,335,82,6,47,25,4,0.302,0.373,0.289,81,999
290,Jonathon Long,CHC,135,566,496,123,16,69,58,8,0.334,0.385,0.31,100,999
291,Christian Encarnacion-Strand,BAL,111,452,418,105,19,56,24,7,0.301,0.452,0.318,99,999
292,Nasim Nuñez,WSN,122,444,387,89,4,57,46,3,0.314,0.3,0.274,73,999
293,Jesús Sánchez,TOR,126,451,408,101,16,55,38,3,0.315,0.426,0.313,101,999
294,Angel Martínez,CLE,137,530,478,117,12,63,35,7,0.303,0.391,0.295,89,999
295,Blake Mitchell,KCR,98,409,347,73,11,46,54,4,0.322,0.357,0.3,88,999
296,Freddie Freeman,LAD,107,464,407,108,13,57,47,6,0.347,0.43,0.333,114,999
297,Gabriel Arias,CLE,128,443,404,95,13,48,29,6,0.294,0.391,0.289,85,999
298,Thomas Saggese,STL,134,544,498,124,12,64,34,7,0.304,0.378,0.289,86,999
299,Oswald Peraza,LAA,113,406,369,84,11,47,29,7,0.296,0.36,0.283,78,999
300,Francisco Acuna,SDP,122,459,405,92,8,54,38,10,0.308,0.343,0.285,84,999
301,Will Wagner,SDP,99,388,344,85,6,42,37,4,0.326,0.358,0.296,92,999
302,Alex Call,LAD,103,350,294,68,8,41,43,7,0.34,0.367,0.312,100,999
303,Carlos Jorge,CIN,125,511,462,108,11,68,35,6,0.295,0.379,0.291,80,999
304,TJ Friedl,CIN,130,534,458,109,11,59,55,12,0.332,0.36,0.306,91,999
305,Carlos Narváez,BOS,102,392,346,77,10,40,39,4,0.307,0.364,0.288,79,999
306,Raynel Delgado,TBR,121,441,393,99,6,46,36,6,0.323,0.351,0.295,87,999
307,Brandon Valenzuela,TOR,103,414,374,80,12,40,35,2,0.283,0.358,0.274,74,999
308,Alec Bohm,PHI,124,515,470,128,13,57,34,5,0.324,0.417,0.309,96,999
309,Chris Newell,LAD,121,506,449,97,21,60,49,3,0.295,0.41,0.303,94,999
310,Jake Mangum,PIT,101,394,368,101,3,38,19,4,0.316,0.37,0.296,86,999
311,Logan O'Hoppe,LAA,112,430,389,91,19,45,34,5,0.303,0.416,0.306,94,999
312,Randy Arozarena,SEA,133,569,491,113,17,70,56,18,0.329,0.387,0.311,106,999
313,Brett Wisely,ATL,115,424,377,91,8,49,37,3,0.312,0.369,0.295,88,999
314,Will Benson,CIN,124,414,361,84,16,59,45,4,0.322,0.427,0.321,101,999
315,Kala'i Rosario,MIN,133,558,496,118,20,70,55,5,0.319,0.429,0.318,103,999
316,Dayson Croes,SFG,101,395,357,92,3,39,24,8,0.317,0.361,0.298,92,999
317,Jeff McNeil,ATH,106,403,358,94,7,42,33,8,0.336,0.391,0.317,100,999
318,Enrique Bradfield Jr.,BAL,99,407,359,87,5,59,35,5,0.316,0.343,0.293,88,999
319,Jud Fabian,BAL,119,482,418,84,16,54,52,4,0.293,0.361,0.283,81,999
320,Jeral Perez,CHW,135,585,536,124,20,67,39,7,0.291,0.397,0.292,85,999
321,Mikey Romero,BOS,131,543,502,121,17,67,32,3,0.289,0.42,0.305,90,999
322,Andrés Chaparro,WSN,114,449,404,98,16,49,37,5,0.312,0.418,0.31,98,999
323,Brayden Taylor,TBR,117,472,420,85,13,55,47,1,0.282,0.355,0.278,75,999
324,Ricardo Olivar,MIN,98,422,376,91,10,49,39,5,0.32,0.383,0.303,92,999
325,Jorbit Vivas,WSN,125,519,452,108,6,60,48,14,0.328,0.336,0.294,87,999
326,Taylor Ward,BAL,121,503,440,103,18,58,54,4,0.32,0.409,0.313,101,999
327,Ryan Jeffers,MIN,103,382,334,78,10,40,37,8,0.323,0.374,0.302,92,999
328,Pedro Pagés,STL,100,358,326,73,9,32,24,3,0.281,0.356,0.266,70,999
329,Brock Wilken,MIL,102,422,363,73,15,46,54,4,0.31,0.375,0.298,91,999
330,Alek Thomas,LAD,133,457,419,105,11,57,26,4,0.298,0.396,0.296,87,999
331,Kole Myers,LAD,108,446,386,92,4,59,50,10,0.341,0.316,0.294,88,999
332,Parks Harber,SFG,94,371,332,81,9,47,30,6,0.315,0.401,0.307,98,999
333,Nolan Jones,CLE,117,417,366,88,10,45,44,4,0.327,0.385,0.31,99,999
334,Arjun Nimmala,TOR,138,584,531,116,16,77,41,8,0.283,0.373,0.275,75,999
335,Carson Kelly,CHC,91,320,284,64,9,33,29,4,0.303,0.359,0.284,82,999
336,Ji Hwan Bae,NYM,108,410,366,91,4,62,38,3,0.323,0.355,0.297,93,999
337,Maximo Acosta,MIA,134,535,485,115,12,62,41,5,0.301,0.359,0.282,78,999
338,Johnathan Rodríguez,BAL,126,495,446,114,17,55,44,3,0.325,0.424,0.317,104,999
339,Brandon Butterworth,BAL,128,524,484,113,11,68,28,9,0.286,0.37,0.282,80,999
340,Drew Gilbert,SFG,121,491,438,103,12,52,41,9,0.312,0.384,0.299,93,999
341,Daz Cameron,MIL,96,363,326,75,12,46,29,5,0.3,0.402,0.303,94,999
342,Liam Hicks,MIA,103,381,324,80,4,36,41,11,0.347,0.333,0.303,92,999
343,Everson Pereira,CHW,107,448,402,96,18,66,38,6,0.313,0.42,0.313,100,999
344,Kahlil Watson,CLE,118,474,420,96,17,58,43,7,0.309,0.414,0.308,98,999
345,Keiner Delgado,PIT,127,536,473,106,10,63,46,11,0.307,0.338,0.282,77,999
346,Danny De Andrade,MIN,130,518,472,104,9,53,31,14,0.288,0.356,0.273,72,999
347,Dustin Harris,CHW,119,495,444,110,11,63,42,5,0.318,0.376,0.303,93,999
348,Colt Keith,DET,134,531,475,126,17,73,49,3,0.335,0.44,0.33,112,999
349,Blake Perkins,MIL,98,343,301,67,5,42,36,2,0.307,0.329,0.281,79,999
350,Maddux Houghton,MIN,109,359,326,74,8,49,25,6,0.292,0.362,0.286,81,999
351,Luis Arraez,SFG,141,602,558,168,6,65,30,4,0.339,0.394,0.313,102,999
352,Caleb Bonemer,CHW,127,550,481,104,12,80,55,8,0.304,0.347,0.288,83,999
353,Tanner Murray,CHW,121,481,447,108,10,53,25,5,0.288,0.367,0.279,77,999
354,Roc Riggio,COL,107,449,397,95,16,61,43,6,0.321,0.433,0.323,93,999
355,Braxton Fulford,COL,87,328,291,69,9,40,24,9,0.312,0.392,0.303,79,999
356,Nick Yorke,PIT,126,532,487,125,9,63,38,4,0.314,0.372,0.294,85,999
357,Kyren Paris,LAA,113,434,381,83,12,59,42,7,0.306,0.375,0.293,85,999
358,Rhylan Thomas,HOU,128,525,476,125,4,63,33,3,0.312,0.336,0.283,86,999
359,Drew Waters,KCR,116,430,388,91,9,55,35,4,0.303,0.392,0.296,85,999
360,LuJames Groover,ARI,124,532,480,122,9,51,42,7,0.321,0.369,0.297,88,999
361,Kevin Parada,NYM,110,433,389,87,13,41,33,6,0.292,0.378,0.287,85,999
362,Jorge Polanco,NYM,107,427,378,90,16,46,42,3,0.317,0.407,0.311,102,999
363,Sam Huff,BAL,85,325,296,66,10,31,26,2,0.289,0.378,0.284,81,999
364,Edgar Quero,CHW,120,472,419,104,9,41,43,6,0.324,0.353,0.293,86,999
365,Josh Jung,TEX,116,460,430,106,14,50,26,3,0.293,0.4,0.294,89,999
366,Noah Cardenas,MIN,83,319,274,57,6,32,37,7,0.317,0.325,0.285,80,999
367,Carlos Mendoza,TOR,109,435,371,89,4,58,44,11,0.336,0.321,0.294,88,999
368,Leo Jiménez,MIA,106,387,334,76,7,48,32,17,0.324,0.344,0.292,86,999
369,Jake Cronenworth,SDP,115,458,393,91,10,51,49,10,0.329,0.366,0.304,98,999
370,Ryan McMahon,NYY,122,478,420,86,14,48,52,3,0.295,0.35,0.28,79,999
371,Casey Schmitt,SFG,116,430,390,98,13,48,30,5,0.31,0.405,0.303,96,999
372,Cristofer Torin,ARI,134,601,539,132,5,71,52,5,0.316,0.325,0.28,76,999
373,Tirso Ornelas,SDP,110,463,416,102,11,51,40,3,0.314,0.377,0.296,92,999
374,Eduardo Garcia,MIL,124,509,465,100,12,58,33,9,0.279,0.353,0.276,75,999
375,Tommy Troy,ARI,120,521,467,112,9,53,41,7,0.308,0.358,0.29,83,999
376,Isaac Collins,KCR,112,418,356,84,7,52,51,6,0.339,0.371,0.311,96,999
377,Alika Williams,ATH,109,392,355,88,6,45,26,5,0.307,0.352,0.284,78,999
378,Luis Lara,MIL,146,616,545,125,2,68,56,11,0.312,0.303,0.272,73,999
379,Luke Adams,MIL,95,369,299,59,12,54,46,22,0.344,0.378,0.322,107,999
380,Brett Harris,ATH,98,388,340,80,8,45,36,8,0.321,0.356,0.292,83,999
381,Ramon Mendoza,STL,112,402,351,80,8,44,38,5,0.31,0.348,0.285,83,999
382,Jake Rogers,DET,81,263,236,49,7,30,22,2,0.279,0.352,0.271,71,999
383,Henry Davis,PIT,98,368,324,74,11,41,30,10,0.311,0.386,0.3,89,999
384,Sebastian Walcott,TEX,143,613,554,130,13,68,53,4,0.305,0.37,0.29,86,999
385,Gavin Lux,TBR,124,446,396,100,7,51,47,1,0.332,0.374,0.309,97,999
386,JJ Bleday,CIN,128,496,439,102,21,65,53,2,0.317,0.433,0.32,100,999
387,Pedro León,PHI,100,426,378,85,14,56,33,10,0.303,0.397,0.3,89,999
388,Diego Velasquez,SFG,134,579,505,125,2,53,48,8,0.321,0.311,0.281,81,999
389,Vaughn Grissom,LAA,113,476,427,107,10,61,37,9,0.321,0.372,0.298,89,999
390,Cole Carrigg,COL,121,516,468,118,13,74,33,7,0.309,0.41,0.309,83,999
391,Brady House,WSN,142,559,522,131,17,66,28,5,0.293,0.4,0.287,82,999
392,Luisangel Acuña,CHW,136,501,460,118,5,68,32,3,0.307,0.341,0.278,76,999
393,Jared Oliva,SFG,95,344,311,74,7,50,22,7,0.302,0.367,0.288,85,999
394,José Caballero,NYY,118,370,319,69,7,45,37,8,0.311,0.335,0.288,84,999
395,Deniel Ortiz,STL,126,520,461,107,14,60,48,9,0.315,0.38,0.304,96,999
396,Juan Matheus,MIA,135,531,477,114,4,53,47,3,0.309,0.329,0.278,75,999
397,Riley Unroe,HOU,91,326,283,66,5,37,37,2,0.325,0.346,0.297,90,999
398,Oliver Dunn,TBR,114,427,378,81,8,45,39,6,0.297,0.339,0.281,78,999
399,Brendan Jones,MIA,129,533,466,107,10,74,61,3,0.321,0.358,0.3,90,999
400,Gabriel Rincones Jr.,PHI,114,484,424,96,15,65,50,7,0.316,0.389,0.308,95,999
401,Luis Torrens,NYM,89,273,249,60,6,23,19,2,0.298,0.369,0.281,81,999
402,Nathan Lukes,TOR,99,356,318,81,6,40,30,3,0.323,0.365,0.296,89,999
403,Ozzie Albies,ATL,129,546,495,122,14,64,41,5,0.308,0.388,0.299,90,999
404,José Fermín,STL,104,364,312,73,6,44,38,8,0.331,0.346,0.298,92,999
405,Drew Avans,COL,102,438,392,100,6,63,41,3,0.329,0.372,0.305,81,999
406,Josh Lowe,LAA,114,441,400,99,13,55,36,2,0.311,0.41,0.31,97,999
407,Christian Cerda,ARI,106,432,375,83,9,38,46,3,0.308,0.336,0.281,77,999
408,J.T. Realmuto,PHI,103,415,376,90,10,44,29,7,0.304,0.378,0.291,84,999
409,Kevin Alcántara,CHC,125,504,459,111,14,60,40,3,0.306,0.383,0.295,89,999
410,Vinny Capra,BOS,98,344,307,74,5,38,29,4,0.313,0.349,0.286,77,999
411,Victor Labrada,SEA,114,464,410,95,7,59,43,7,0.314,0.341,0.291,91,999
412,Aroon Escobar,PHI,141,595,536,130,16,77,40,13,0.308,0.377,0.291,83,999
413,Yandy Díaz,TBR,113,479,425,119,12,53,46,5,0.355,0.416,0.332,112,999
414,Tatem Levins,TBR,86,334,290,60,6,33,36,5,0.303,0.321,0.276,74,999
415,Ke'Bryan Hayes,CIN,115,449,411,99,7,45,33,3,0.301,0.341,0.274,69,999
416,Tre' Morgan,TBR,109,445,384,97,8,51,53,5,0.348,0.367,0.314,100,999
417,Miles Mastrobuoni,SEA,102,336,297,70,3,39,34,0,0.312,0.32,0.279,83,999
418,Jacob Cozart,CLE,100,410,364,78,8,43,35,7,0.293,0.332,0.273,74,999
419,Akil Baddoo,MIL,117,451,398,90,13,57,48,2,0.31,0.387,0.303,94,999
420,Luis Vázquez,BAL,108,388,350,84,9,41,24,6,0.298,0.369,0.28,79,999
421,Kody Huff,CLE,100,379,339,74,5,34,31,5,0.292,0.316,0.261,66,999
422,William Bergolla Jr.,CHW,142,572,508,131,1,68,30,4,0.303,0.315,0.266,68,999
423,Marcelo Mayer,BOS,99,392,356,87,11,53,31,2,0.306,0.402,0.303,89,999
424,Dominic Fletcher,PIT,104,423,387,94,7,44,25,6,0.297,0.367,0.286,80,999
425,Curtis Mead,WSN,117,443,398,98,10,48,31,11,0.316,0.374,0.295,88,999
426,Harrison Bader,SFG,115,377,343,82,10,44,24,6,0.297,0.373,0.288,85,999
427,Willie MacIver,TOR,83,322,285,64,7,32,27,6,0.302,0.351,0.281,80,999
428,Andrew Stevenson,,84,330,302,75,6,36,22,5,0.309,0.374,0.298,89,999
429,Alec Burleson,STL,136,517,469,126,16,55,39,4,0.328,0.422,0.318,105,999
430,Carlos Correa,HOU,114,474,428,106,13,49,41,2,0.314,0.39,0.296,89,999
431,Cristian Hernández,MIA,129,554,505,119,7,58,44,2,0.298,0.345,0.273,71,999
