64,Elmer Rodríguez,NYY,23,24,127.2,59,15,110,45,1.06,1.24,4.16,999
65,Luis Garcia,NYY,22,23,105.1,46,14,100,31,1.2,1.2,3.93,999
66,Cade Povich,BAL,22,24,121.2,56,15,115,41,1.11,1.28,4.14,999
67,David Festa,MIN,21,23,106,49,13,104,35,1.1,1.26,4.16,999
68,Ben Brown,CHC,15,24,101.1,44,11,107,33,0.98,1.19,3.91,999
69,Reese Olson,DET,23,23,118.1,53,14,109,39,1.07,1.23,4.03,999
70,Didier Fuentes,ATL,26,26,113,51,13,102,35,1.04,1.21,4.06,999
71,Justin Steele,CHC,22,22,123,50,14,109,35,1.02,1.23,3.66,999
72,Drew Rasmussen,TBR,26,27,127.1,54,16,101,33,1.13,1.19,3.82,999
73,Andrew Morris,MIN,20,22,107,46,11,86,29,0.93,1.24,3.87,999
74,Luis Morales,ATH,20,28,117.1,52,14,103,40,1.07,1.23,3.99,999
75,Andrew Painter,PHI,24,24,114,54,15,114,41,1.18,1.26,4.26,999
76,Nolan McLean,NYM,24,26,140.1,61,16,134,48,1.03,1.23,3.91,999
77,Konner Eaton,COL,23,24,121.2,60,13,100,42,0.96,1.32,4.44,999
78,Blake Snell,LAD,22,22,111.2,50,14,132,53,1.13,1.32,4.03,999
79,AJ Smith-Shawver,ATL,26,26,110.1,45,12,112,39,0.98,1.24,3.67,999
80,Brady Singer,CIN,27,27,143,73,21,131,47,1.32,1.32,4.59,999
81,Shane Smith,CHW,26,26,132.1,60,16,121,45,1.09,1.21,4.08,999
82,Kyle Harrison,MIL,23,27,112.2,49,14,121,39,1.12,1.19,3.91,999
83,Matthew Liberatore,STL,21,28,123.2,54,13,104,34,0.95,1.21,3.93,999
84,Nick Lodolo,CIN,23,24,125.1,62,17,122,34,1.22,1.21,4.45,999
85,Shane Baz,BAL,25,25,130.2,61,17,123,43,1.17,1.25,4.2,999
86,Mitch Bratt,ARI,22,23,116,47,13,100,30,1.01,1.19,3.65,999
87,Ryan Johnson,LAA,14,31,86,37,9,80,26,0.94,1.23,3.87,999
88,Leandro Lopez,TEX,25,26,105,47,11,99,41,0.94,1.28,4.03,999
89,Noah Cameron,KCR,25,25,131.2,58,17,111,38,1.16,1.25,3.96,999
90,Luis Perales,WSN,30,30,101.2,45,9,104,44,0.8,1.29,3.98,999
91,Thomas White,MIA,26,26,111.2,48,11,110,46,0.89,1.27,3.87,999
92,Mick Abel,MIN,24,26,123.1,56,14,115,44,1.02,1.27,4.09,999
93,Will Warren,NYY,25,26,130,63,17,124,45,1.18,1.27,4.36,999
94,Justin Wrobleski,LAD,15,31,114.1,53,14,107,34,1.1,1.22,4.17,999
95,John Holobetz,BOS,17,21,112,51,12,84,31,0.96,1.26,4.1,999
96,Chase Petty,CIN,24,25,115.1,61,13,87,44,1.01,1.34,4.76,999
97,Jose Corniell,TEX,35,36,102.2,46,12,97,29,1.05,1.13,4.03,999
98,Quinn Priester,MIL,21,26,135,59,16,116,42,1.07,1.22,3.93,999
99,Rhett Lowder,CIN,23,23,112.2,55,14,89,32,1.12,1.24,4.39,999
100,Bryce Elder,ATL,25,25,139.2,67,16,118,45,1.03,1.29,4.32,999
101,Bryce Miller,SEA,21,21,114.2,50,14,100,33,1.1,1.18,3.92,999
102,Jared Jones,PIT,20,20,107,45,11,94,35,0.93,1.24,3.79,999
103,Mitchell Parker,WSN,22,25,130,64,14,95,46,0.97,1.35,4.43,999
104,TJ Nichols,TBR,20,22,109.2,51,13,89,29,1.07,1.2,4.18,999
105,Chen Zhong-Ao Zhuang,ATH,19,22,115.1,54,15,89,27,1.17,1.22,4.22,999
106,Tekoah Roby,STL,23,23,111,47,13,94,29,1.05,1.2,3.81,999
107,Ryan Pepiot,TBR,23,23,129.2,58,18,120,44,1.25,1.21,4.02,999
108,Zack Wheeler,PHI,20,20,120.1,54,16,113,37,1.2,1.27,4.04,999
109,Tyler Glasnow,LAD,20,21,103,47,14,113,39,1.22,1.23,4.11,999
110,Tyson Hardin,MIL,23,23,106.2,47,13,92,29,1.1,1.19,3.96,999
111,Mitch Keller,PIT,24,24,136,63,17,113,41,1.13,1.31,4.17,999
112,Robert Gasser,MIL,20,23,100.1,45,12,95,32,1.08,1.23,4.04,999
113,Bailey Ober,MIN,23,23,126,61,20,107,31,1.43,1.27,4.36,999
114,David Peterson,NYM,22,23,126.2,61,12,110,52,0.85,1.41,4.33,999
115,Drew Rom,MIL,21,22,103,45,11,99,37,0.96,1.23,3.93,999
116,Jaron DeBerry,MIL,19,22,105.2,47,12,90,30,1.02,1.2,4,999
117,Chris Sale,ATL,20,21,113.2,48,15,122,36,1.19,1.31,3.8,999
118,Shane Bieber,TOR,20,20,109,48,14,93,28,1.16,1.24,3.96,999
119,Ben Hess,NYY,24,24,109,51,13,104,42,1.07,1.24,4.21,999
120,Jack Flaherty,DET,23,24,125,61,18,130,45,1.3,1.3,4.39,999
121,Jedixson Paez,BOS,16,24,95.2,43,11,76,23,1.03,1.2,4.04,999
122,Chad Patrick,MIL,21,27,123.2,59,18,117,39,1.31,1.24,4.29,999
123,Parker Messick,CLE,23,24,118.1,49,14,111,37,1.07,1.23,3.73,999
124,Emmet Sheehan,LAD,17,24,88,40,11,95,30,1.13,1.16,4.09,999
125,Adam Mazur,MIA,21,23,114.2,52,13,86,32,1.02,1.26,4.08,999
126,Jonathan Cannon,CHW,20,24,121,60,15,92,38,1.12,1.31,4.46,999
127,Tink Hence,STL,29,29,106.1,46,11,96,40,0.93,1.27,3.89,999
128,David Davalillo,TEX,23,24,107.2,50,12,89,33,1,1.22,4.18,999
129,K.C. Hunt,TBR,22,24,106.2,48,13,95,34,1.1,1.23,4.05,999
130,Aaron Nola,PHI,20,20,118.2,61,19,111,31,1.44,1.28,4.63,999
131,Kendry Rojas,MIN,26,27,105.2,47,11,95,38,0.94,1.3,4,999
132,Connor Prielipp,MIN,29,30,102.2,45,11,95,36,0.96,1.29,3.94,999
133,Mason Barnett,ATH,23,25,121,58,14,103,47,1.04,1.33,4.31,999
134,Carlos Rodriguez,MIL,18,23,105.1,49,12,97,40,1.03,1.26,4.19,999
135,Jack Wenninger,NYM,20,22,114.1,54,13,96,37,1.02,1.28,4.25,999
136,Khal Stephen,CLE,22,23,108,47,13,90,31,1.08,1.22,3.92,999
137,Brendan Beck,NYY,21,23,109.1,52,14,85,28,1.15,1.22,4.28,999
138,Coleman Crow,MIL,21,22,105,46,12,89,29,1.03,1.19,3.94,999
139,Hurston Waldrep,ATL,23,24,127,57,14,113,46,0.99,1.28,4.04,999
