Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Leandro Arias,BAL,362,322,67,4,31,26,6,0.277311,0.282609
Elio Prado,,347,313,61,5,32,23,6,0.261628,0.28115
Arturo Disla,TEX,441,409,86,11,35,25,6,0.265306,0.337408
Jordan Thompson,,424,388,77,9,42,25,7,0.257683,0.306701
Colby Jones,ATL,511,460,93,1,59,41,7,0.27593,0.232609
Hudson White,BOS,278,252,44,2,19,18,5,0.241877,0.238095
Miguel Palma,NYY,251,227,46,5,21,18,4,0.270916,0.30837
Lyle Miller-Green,,402,352,67,8,47,39,7,0.2825,0.309659
Erick Torres,KCR,511,458,101,3,49,31,7,0.279116,0.279476
Eduardo Guerrero,LAD,415,359,71,3,41,44,5,0.291971,0.259053
Cristian Gonzalez,,306,291,56,4,25,11,1,0.222222,0.264605
Jake Gatewood,,334,308,54,10,33,19,4,0.231928,0.324675
Alex Ramírez,CHC,456,419,84,5,49,34,2,0.263158,0.27685
Teo Banks,WSN,192,175,30,1,16,9,3,0.223404,0.222857
Zavier Warren,,437,394,79,10,40,35,4,0.270023,0.319797
Jack Hurley,ARI,401,372,74,7,38,20,5,0.2475,0.314516
Bryce Madron,,218,186,28,1,23,27,2,0.263889,0.193548
Anthony Gutierrez,TEX,396,363,84,2,47,21,7,0.285714,0.297521
Harrison Spohn,,319,290,50,3,21,26,1,0.241379,0.241379
Rafe Perich,TEX,420,376,72,5,35,38,3,0.269048,0.268617
Reylin Perez,,242,219,40,2,21,15,2,0.239496,0.26484
Chase Valentine,,288,259,47,2,28,19,3,0.243816,0.247104
Jackson Hornung,,431,393,86,7,47,30,5,0.280742,0.330789
Joe Vetrano,LAD,420,385,78,8,41,32,2,0.266667,0.316883
Jefrey De Los Santos,,323,293,56,5,29,22,4,0.255452,0.303754
Arxy Hernandez,,500,462,93,6,49,27,8,0.256,0.285714
Kenni Gomez,HOU,435,411,88,6,41,20,2,0.252874,0.313869
Rodney Green Jr.,ATH,500,452,83,10,48,41,4,0.256,0.307522
Tommy Sacco Jr.,,444,402,77,5,33,35,3,0.260181,0.271144
Antonis Macias,TEX,467,404,89,2,39,47,5,0.305195,0.289604
Maikol Hernández,,405,350,64,4,23,32,3,0.253197,0.26
Kay-Lan Nicasia,,316,280,43,8,31,31,3,0.243671,0.289286
Miguel Santos,,343,313,64,3,24,19,7,0.26393,0.271565
Sonny DiChiara,,323,285,53,7,24,30,6,0.275542,0.298246
Luis Sanchez,CHC,266,243,42,2,25,16,6,0.240602,0.238683
Evan Edwards,,296,263,48,6,19,25,5,0.263514,0.288973
Cody Schrier,MIA,310,287,59,5,33,18,4,0.26129,0.299652
