Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Blake Snell,LAD,19,19,98.3,11,119,45,1.00712,1.26144,3.75381
Reid Detmers,LAA,17,39,112.3,13,125,38,1.04185,1.21104,4.00712
Will Warren,NYY,26,27,132.7,17,129,46,1.15298,1.26601,4.34062
Brandon Sproat,MIL,25,26,121.7,13,108,43,0.96138,1.24897,4.06738
Braxton Ashcraft,PIT,17,32,109,11,99,29,0.908257,1.21101,3.55046
Reese Olson,DET,23,23,114,13,107,38,1.02632,1.22807,3.94737
Grayson Rodriguez,LAA,21,21,105,13,108,35,1.11429,1.2381,4.11429
Shane Baz,BAL,26,26,135.3,18,131,45,1.19734,1.24169,4.19069
Matthew Liberatore,STL,22,29,126.3,13,107,36,0.926366,1.22724,3.91924
Gage Jump,ATH,24,26,110.7,13,99,32,1.05691,1.20145,3.98374
Cristian Mena,ARI,19,22,103.3,11,96,35,0.958374,1.23911,3.57212
Nolan McLean,NYM,25,27,141,16,138,51,1.02128,1.24113,3.89362
Ben Brown,CHC,15,24,99.3,11,106,33,0.996979,1.20846,3.89728
Brandon Woodruff,MIL,21,21,102,15,106,29,1.32353,1.18627,3.88235
Tyler Glasnow,LAD,19,20,99,13,112,36,1.18182,1.18182,3.90909
Ryan Pepiot,TBR,25,25,136,19,130,47,1.25735,1.19853,4.03676
Noah Cameron,KCR,26,26,136,18,116,40,1.19118,1.24265,4.03676
David Festa,MIN,21,23,102.7,13,103,35,1.13924,1.27556,4.11879
Cade Povich,BAL,23,25,123,16,118,43,1.17073,1.29268,4.17073
Kumar Rocker,TEX,22,23,98.7,11,92,28,1.00304,1.21581,4.01216
Luis Garcia,NYY,20,21,95,13,92,27,1.23158,1.17895,3.88421
Clay Holmes,CHC,22,26,124,11,99,43,0.798387,1.3629,3.99194
Didier Fuentes,ATL,26,26,108.7,13,101,34,1.07636,1.22355,4.05704
Shane Bieber,TOR,20,20,109,14,96,27,1.15596,1.20183,3.79817
Quinn Priester,MIL,22,27,137.7,16,118,44,1.04575,1.23457,3.92157
Lucas Braun,KCR,23,24,126.7,16,107,34,1.13654,1.23915,4.04893
Mick Abel,MIN,24,26,122,14,116,45,1.03279,1.27869,4.05738
Roki Sasaki,LAD,17,25,97.7,13,110,33,1.19754,1.20778,4.05322
Rhett Lowder,CIN,23,23,109.3,13,86,32,1.07045,1.26258,4.44648
Bryce Miller,SEA,22,22,118,15,104,34,1.14407,1.17797,3.9661
Mitchell Parker,WSN,24,27,134.7,15,99,48,1.00223,1.366,4.47661
Jacob Lopez,ATH,18,24,104,13,111,40,1.125,1.25,3.98077
Ethan Pecko,HOU,21,27,102.3,12,96,34,1.05572,1.25122,3.69501
Carlos Rodón,NYY,22,22,119.3,16,117,44,1.20704,1.2741,4.22464
Chad Patrick,MIL,23,29,128.3,19,123,41,1.33281,1.24708,4.27903
Andrew Morris,MIN,20,22,102,11,81,28,0.970588,1.27451,3.97059
Drew Anderson,DET,22,24,122.3,18,133,44,1.32461,1.27555,4.26819
Luis Morales,ATH,21,29,117,15,105,42,1.15385,1.26496,4.07692
Emmet Sheehan,LAD,17,24,87,11,97,30,1.13793,1.14943,4.03448
Justin Wrobleski,LAD,15,31,111,14,104,33,1.13514,1.22523,4.21622
