Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Dustin May,STL,12.06,19.5044,75.8934,9.31802,72.5527,27.1816,1.105,1.31587,4.08188
Jack Flaherty,DET,11.22,11.22,58.8443,7.83283,64.6788,22.8639,1.198,1.28768,3.97421
Ryan Weathers,NYY,9.9,15.6037,59.6863,8.03112,62.9341,19.3773,1.211,1.22339,3.62468
Emmet Sheehan,LAD,9.1,13.5136,52.1598,7.88772,58.4636,18.1333,1.361,1.21779,3.95688
Logan Henderson,MIL,9.24,13.3141,54.328,8.43291,58.0929,17.5916,1.397,1.19942,3.94112
Blake Snell,LAD,7.8,7.8,43.1012,4.93269,52.4742,19.9064,1.03,1.27482,3.5619
Landen Roupp,SFG,11.22,11.22,61.2634,6.1876,60.0657,26.5907,0.909,1.3568,3.86156
Payton Tolle,BOS,10.2,10.2,57.893,8.41378,57.8595,19.5819,1.308,1.26952,4.12799
Kyle Harrison,MIL,10.56,10.56,57.3929,8.23269,62.3711,21.1389,1.291,1.24196,3.89016
Nick Lodolo,CIN,10.72,10.72,59.155,8.53147,56.9091,18.9281,1.298,1.29498,4.29678
Davis Martin,CHW,11.39,11.39,65.8707,8.75348,55.6695,22.7562,1.196,1.34315,4.23171
Tyler Glasnow,LAD,6.5,6.5,36.4352,4.22648,43.642,13.9654,1.044,1.21015,3.52809
Mitch Keller,PIT,12.35,12.35,70.7334,9.53329,59.4579,23.1685,1.213,1.34836,4.5088
Griffin Jax,TBR,9.52,9.52,47.8706,5.79234,51.0813,17.7449,1.089,1.27385,3.83029
Christian Scott,NYM,11.05,11.05,58.0198,8.12922,60.2109,19.7757,1.261,1.22822,3.9224
Michael Wacha,KCR,11.7,11.7,70.4917,10.2918,57.1326,21.6266,1.314,1.34818,4.56004
Andrew Abbott,CIN,12.06,12.06,68.1926,11.5624,60.3234,25.2576,1.526,1.376,4.6859
Brady Singer,CIN,12.06,12.06,65.6789,10.3554,59.1485,22.0159,1.419,1.36681,4.60709
Trevor Rogers,BAL,11.7,11.7,65.7612,8.76816,54.1149,23.5216,1.2,1.37029,4.34378
Jake Bennett,BOS,8.84,13.877,56.0766,6.82888,42.6849,16.2964,1.096,1.3422,4.21149
Brandon Pfaadt,ARI,11.22,20.183,71.7825,9.74647,60.4964,18.9058,1.222,1.32011,4.41725
Eduardo Rodriguez,ARI,12.54,12.54,72.9635,9.75279,59.8212,27.0833,1.203,1.42106,4.57388
Tanner Bibee,CLE,12.35,12.35,72.0647,10.6416,65.5117,22.3854,1.329,1.30077,4.26716
Mason Miller,SDP,0,27.7037,27.7037,2.02545,45.7697,10.986,0.658,0.982732,2.21327
Kumar Rocker,TEX,11.22,15.2941,62.1382,8.11939,54.7265,21.8774,1.176,1.33782,4.27827
J.T. Ginn,ATH,11.22,16.9237,66.8999,8.53345,60.5232,27.0261,1.148,1.40962,4.44009
Bryce Miller,SEA,9.75,16.1698,60.9464,8.82368,59.5689,17.8268,1.303,1.21865,3.92272
Shane Bieber,TOR,10.56,13.8193,62.1654,8.6479,53.6709,17.1129,1.252,1.30207,4.20522
Kyle Freeland,COL,11.52,11.52,64.4061,10.6485,49.7986,16.5036,1.488,1.41816,5.07978
Michael McGreevy,STL,11.39,15.5258,70.8124,8.84368,49.0838,17.747,1.124,1.32817,4.16198
Merrill Kelly,ARI,12.54,12.54,74.874,10.2827,60.8182,26.1271,1.236,1.41445,4.63064
Bailey Ober,MIN,11.7,11.7,66.2373,11.54,56.9358,16.6804,1.568,1.25946,4.46063
Will Warren,NYY,11.88,15.1393,67.5109,9.64656,64.5866,24.6228,1.286,1.32652,4.15867
Sean Manaea,NYM,11.05,11.05,60.7834,8.79333,58.5974,22.179,1.302,1.29771,4.18617
Shane Baz,BAL,11.7,11.7,67.9129,9.67382,63.713,26.1829,1.282,1.36205,4.43096
Garrett Crochet,BOS,4.76,4.76,26.9578,2.8755,32.7198,7.6602,0.96,1.11671,3.20893
Noah Cameron,KCR,11.7,11.7,66.1799,9.31666,56.5567,22.7545,1.267,1.36719,4.38762
Grayson Rodriguez,LAA,9.75,9.75,52.9551,7.13717,50.8888,19.3591,1.213,1.315,4.11552
Tyler Mahle,SFG,10.56,10.56,57.5179,7.05553,50.4004,21.2674,1.104,1.33308,4.08342
Connor Prielipp,MIN,7.8,11.8123,46.7147,5.48119,45.7063,17.7543,1.056,1.31329,3.91664
Bryce Elder,ATL,12.06,12.06,69.6416,9.37066,57.6711,24.1658,1.211,1.40216,4.51891
Michael Soroka,ARI,8.58,12.6541,50.6184,6.1417,49.0758,17.0478,1.092,1.31766,4.26378
Seth Lugo,KCR,11.7,11.7,68.0438,9.88147,57.6068,23.04,1.307,1.39314,4.625
David Peterson,CHC,9.9,13.9741,58.6745,6.09563,49.4388,24.1823,0.935,1.4023,3.88909
Brandon Sproat,MIL,10.56,15.8563,61.7078,7.94659,57.3546,26.2151,1.159,1.36184,4.17181
Gage Jump,ATH,10.56,10.56,59.2318,8.18057,55.3813,22.8036,1.243,1.38743,4.4376
Reynaldo López,ATL,9.38,16.8244,57.2532,7.72282,55.6158,22.1592,1.214,1.34405,4.3036
Sean Burke,CHW,11.39,11.39,63.0204,9.72615,61.2907,26.4819,1.389,1.36152,4.48815
Trey Yesavage,TOR,11.22,11.22,63.2097,9.01089,65.1518,30.1697,1.283,1.39172,4.40161
Justin Wrobleski,LAD,9.75,15.3673,64.7439,9.64684,52.1399,21.8399,1.341,1.34859,4.37733
Zebby Matthews,MIN,9.1,9.1,50.759,7.43901,44.4551,13.7619,1.319,1.27367,4.25007
Andre Pallante,STL,10.72,10.72,59.2203,5.96809,42.3513,22.3168,0.907,1.44254,4.28395
Stephen Kolek,KCR,11.05,11.05,62.7559,7.39125,42.6998,19.6904,1.06,1.44205,4.60053
Anthony Kay,CHW,9.38,9.38,49.7726,6.12203,38.5759,19.0835,1.107,1.40881,4.31061
Dean Kremer,BAL,11.05,14.2599,65.104,10.272,57.8434,20.6024,1.42,1.32785,4.45788
Janson Junk,MIA,9.1,12.3099,53.843,7.82518,38.5664,13.2065,1.308,1.31207,4.44994
Roki Sasaki,LAD,7.15,15.1747,45.9483,6.2796,44.6695,17.7695,1.23,1.33556,4.26417
Andrew Alvarez,WSN,7.8,13.8185,47.7102,4.80283,38.4748,20.5536,0.906,1.40625,3.95751
Nick Martinez,TBR,12.24,12.24,71.4024,11.226,50.8508,19.3778,1.415,1.35842,4.72499
Joey Cantillo,CLE,9.75,14.5648,56.6313,7.11037,58.4534,25.9035,1.13,1.36984,4.07709
Luis Castillo,SEA,8.45,15.6722,54.3289,7.68452,51.7005,15.8898,1.273,1.2303,3.93749
Jhoan Duran,PHI,0,27.284,27.284,1.82803,34.8141,8.8076,0.603,1.08578,2.55787
Edward Cabrera,CHC,8.58,8.58,45.7558,5.67372,46.3888,19.4032,1.116,1.3475,4.18961
Tatsuya Imai,HOU,9.6,9.6,49.4545,6.23676,49.5887,23.2293,1.135,1.4018,4.32387
Bubba Chandler,PIT,9.75,15.3673,57.4532,7.58382,52.8981,26.8287,1.188,1.42093,4.49609
Robbie Ray,SFG,12.54,12.54,72.1704,10.2883,70.3828,32.628,1.283,1.38793,4.42534
Ryan Feltner,COL,10.24,14.9807,59.3142,9.16734,47.9634,23.4258,1.391,1.50495,5.23157
Shane Drohan,MIL,9.24,14.9437,56.4705,7.8745,52.6466,22.7036,1.255,1.32936,4.10444
Jameson Taillon,CHC,9.9,9.9,55.0674,9.12283,44,14.904,1.491,1.3165,4.63111
Grant Taylor,CHW,0,31.8457,31.8457,2.91919,40.4727,12.1337,0.825,1.1602,3.01342
Yusei Kikuchi,LAA,6.5,6.5,35.0211,4.9691,35.581,13.0869,1.277,1.29296,4.04403
Ben Brown,CHC,5.28,10.5763,34.0075,4.08846,34.8136,11.9728,1.082,1.26731,3.87054
Matthew Liberatore,STL,10.72,10.72,56.9121,8.10049,49.27,20.495,1.281,1.36512,4.44082
Michael Lorenzen,COL,10.88,16.4109,64.7281,10.486,50.5832,24.3274,1.458,1.51563,5.30095
Troy Melton,DET,5.28,21.5763,46.8622,6.00878,42.1131,14.2491,1.154,1.26245,3.94787
Zac Gallen,ARI,9.24,9.24,51.3931,6.80102,43.041,17.2393,1.191,1.41273,4.64365
Ian Seymour,TBR,8.16,14.876,50.3782,7.71346,48.8479,17.8389,1.378,1.28454,4.25719
Noah Schultz,CHW,10.05,10.05,55.4364,7.32992,49.0941,26.7391,1.19,1.44803,4.43465
Kyle Leahy,STL,9.38,22.6146,63.1399,7.8995,52.0323,23.7757,1.126,1.39224,4.31052
Justin Verlander,DET,8.58,8.58,47.0611,7.08008,38.09,15.0435,1.354,1.31879,4.47185
Robert Gasser,MIL,5.94,13.2733,39.6795,6.17237,37.9355,12.4014,1.4,1.2508,4.14749
Carlos Rodón,NYY,6.6,6.6,37.0052,5.23007,40.026,14.9148,1.272,1.28472,4.04772
Connelly Early,BOS,6.12,6.12,33.7898,4.04727,33.3369,13.0514,1.078,1.33532,4.08631
Grant Holmes,ATL,9.38,15.9973,57.419,7.90468,54.6718,23.9073,1.239,1.39326,4.40351
Jeffrey Springs,ATH,11.22,11.22,62.5904,11.4193,53.6731,22.2302,1.642,1.41587,5.01832
Jack Leiter,TEX,7.92,7.92,42.8092,6.24539,42.3998,18.8651,1.313,1.36589,4.43148
